t,spd scale,shoulder_pan_joint pos,shoulder_lift_joint pos,elbow_joint pos,wrist_1_joint pos,wrist_2_joint pos,wrist_3_joint pos,shoulder_pan_joint vel,shoulder_lift_joint vel,elbow_joint vel,wrist_1_joint vel,wrist_2_joint vel,wrist_3_joint vel,shoulder_pan_joint acc,shoulder_lift_joint acc,elbow_joint acc,wrist_1_joint acc,wrist_2_joint acc,wrist_3_joint acc,shoulder_pan_joint effort,shoulder_lift_joint effort,elbow_joint effort,wrist_1_joint effort,wrist_2_joint effort,wrist_3_joint effort,act human j0 x, y, z,act human j1 x, y, z,act human j2 x, y, z,act human j3 x, y, z,act human j4 x, y, z,act human j5 x, y, z,act human j6 x, y, z,act human j7 x, y, z,act human j8 x, y, z,act human j9 x, y, z,act human j10 x, y, z,act human j11 x, y, z,act human j12 x, y, z,act human j13 x, y, z,act human j14 x, y, z,act human j15 x, y, z,act human j16 x, y, z,act human j17 x, y, z,act human j18 x, y, z,act human j19 x, y, z,act human j20 x, y, z,act human j21 x, y, z,act human j22 x, y, z,act human j23 x, y, z,act human j24 x, y, z,act human j25 x, y, z,act human j26 x, y, z,act human j27 x, y, z,act human j28 x, y, z,act human j29 x, y, z,act human j30 x, y, z,act human j31 x, y, z,act human j32 x, y, z,act human j33 x, y, z,act human j34 x, y, z,act human j35 x, y, z,act human j36 x, y, z,act human j37 x, y, z,act human j38 x, y, z,act human j39 x, y, z,act human j40 x, y, z,act human j41 x, y, z,act human j42 x, y, z,act human j43 x, y, z,act human j44 x, y, z,act human j45 x, y, z,act human j46 x, y, z,act human j47 x, y, z,act human j48 x, y, z,act human j49 x, y, z,act human j50 x, y, z,act human j51 x, y, z,act human j52 x, y, z,act human j53 x, y, z,act human j54 x, y, z,act human j55 x, y, z,act human j56 x, y, z,act human j57 x, y, z,skel pt 0 x, y, z,skel pt 1 x, y, z,skel pt 2 x, y, z,skel pt 3 x, y, z,skel pt 4 x, y, z,skel pt 5 x, y, z,skel pt 6 x, y, z,skel pt 7 x, y, z,skel pt 8 x, y, z,skel pt 9 x, y, z,skel pt 10 x, y, z,skel pt 11 x, y, z,skel pt 12 x, y, z,skel pt 13 x, y, z,skel pt 14 x, y, z,pred pelvis x, y, z,pred spine top x, y, z,pred head top x, y, z,pred l shoulder x, y, z,pred l elbow x, y, z,pred l wrist x, y, z,pred r shoulder x, y, z,pred r elbow x, y, z,pred r wrist x, y, z,plan time,min sep dist, tip speed
0.0167325,100,2.30262,-0.90757,1.04731,-1.72673,1.56992,-0.731871,-0.0092665,-0.10009,0.140883,0.0582392,-0.0180328,0.173573,3.27904,35.7958,-50.382,-20.8843,6.41388,-62.0883,0,0,0,0,0,0,0.974921,0.040361,0.954233,1.03439,-0.0857874,1.50588,0.987744,0.0360075,1.71916,1.0716,0.0786239,1.55288,0.853833,0.102492,1.37058,0.489753,-0.236444,1.31991,0.997181,-0.250199,1.45887,0.786689,-0.156733,1.29099,0.940091,0.318989,1.27849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974921,0.040361,0.954233,1.03439,-0.0857874,1.50588,0.987744,0.0360075,1.71916,1.0716,0.0786239,1.55288,0.853833,0.102492,1.37058,0.489753,-0.236444,1.31991,0.997181,-0.250199,1.45887,0.786689,-0.156733,1.29099,0.940091,0.318989,1.27849, , , , , , , , , , , , , , , , , , ,0.775586,0.0305496,0.915822,0.841082,-0.0549927,1.47453,0.788293,0.066571,1.68651,0.871414,0.106172,1.4731,0.863724,0.197345,1.20318,0.804135,0.0859004,0.823673,0.81075,-0.216157,1.47596,0.836333,-0.32341,1.21315,0.816948,-0.167998,0.845089,9.64613,0.29247,0.0613699
0.0340268,100,2.3022,-0.911863,1.05336,-1.72427,1.56912,-0.724434,-0.0357706,-0.351571,0.495152,0.199432,-0.066593,0.608573,16.1705,160.583,-226.15,-91.3604,30.2474,-278.029,0,0,0,0,0,0,0.974921,0.040361,0.954233,1.03439,-0.0857874,1.50588,0.987744,0.0360075,1.71916,1.0716,0.0786239,1.55288,0.853833,0.102492,1.37058,0.489753,-0.236444,1.31991,0.997181,-0.250199,1.45887,0.786689,-0.156733,1.29099,0.940091,0.318989,1.27849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523, , , , , , , , , , , , , , , , , , ,0.775586,0.0305496,0.915822,0.841082,-0.0549927,1.47453,0.788293,0.066571,1.68651,0.871414,0.106172,1.4731,0.863724,0.197345,1.20318,0.804135,0.0859004,0.823673,0.81075,-0.216157,1.47596,0.836333,-0.32341,1.21315,0.816948,-0.167998,0.845089,9.64613,0.292337,0.215632
0.0500631,100,2.30141,-0.919295,1.06383,-1.72012,1.56767,-0.711583,-0.0607826,-0.550696,0.776031,0.304812,-0.109107,0.951622,28.2713,258.73,-364.571,-143.663,50.9725,-447.192,0,0,0,0,0,0,0.974921,0.040361,0.954233,1.03439,-0.0857874,1.50588,0.987744,0.0360075,1.71916,1.0716,0.0786239,1.55288,0.853833,0.102492,1.37058,0.489753,-0.236444,1.31991,0.997181,-0.250199,1.45887,0.786689,-0.156733,1.29099,0.940091,0.318989,1.27849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523, , , , , , , , , , , , , , , , , , ,0.774978,0.0302183,0.915864,0.83685,-0.0563128,1.47483,0.786527,0.0638751,1.68819,0.863102,0.105572,1.47436,0.854937,0.195172,1.20394,0.802887,0.0817181,0.823911,0.810598,-0.218197,1.4753,0.825648,-0.321238,1.21001,0.805229,-0.167459,0.841315,9.64613,0.292337,0.337864
0.0670147,96,2.30018,-0.929873,1.07874,-1.71435,1.56552,-0.693323,-0.086412,-0.723334,1.0199,0.389884,-0.149947,1.24768,42.9326,362.851,-511.584,-196.242,74.8002,-626.023,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523, , , , , , , , , , , , , , , , , , ,0.774978,0.0302183,0.915864,0.83685,-0.0563128,1.47483,0.786527,0.0638751,1.68819,0.863102,0.105572,1.47436,0.854937,0.195172,1.20394,0.802887,0.0817181,0.823911,0.810598,-0.218197,1.4753,0.825648,-0.321238,1.21001,0.805229,-0.167459,0.841315,9.64613,0.284147,0.443916
0.0833947,92,2.29832,-0.944732,1.0997,-1.70648,1.56235,-0.667723,-0.1201,-0.92459,1.30455,0.482984,-0.201403,1.59149,58.0293,450.874,-636.111,-236.382,97.6713,-776.271,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523, , , , , , , , , , , , , , , , , , ,0.774978,0.0302183,0.915864,0.83685,-0.0563128,1.47483,0.786527,0.0638751,1.68819,0.863102,0.105572,1.47436,0.854937,0.195172,1.20394,0.802887,0.0817181,0.823911,0.810598,-0.218197,1.4753,0.825648,-0.321238,1.21001,0.805229,-0.167459,0.841315,9.64613,0.284147,0.567621
0.100066,87,2.29626,-0.95999,1.12123,-1.69865,1.55894,-0.641488,-0.142433,-1.02224,1.44321,0.518611,-0.232413,1.75625,70.4985,510.38,-720.501,-259.91,115.418,-877.064,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523, , , , , , , , , , , , , , , , , , ,0.774978,0.0302183,0.915864,0.83685,-0.0563128,1.47483,0.786527,0.0638751,1.68819,0.863102,0.105572,1.47436,0.854937,0.195172,1.20394,0.802887,0.0817181,0.823911,0.810598,-0.218197,1.4753,0.825648,-0.321238,1.21001,0.805229,-0.167459,0.841315,9.64613,0.281633,0.627755
0.116767,87,2.29383,-0.97673,1.14488,-1.6903,1.55505,-0.612759,-0.164236,-1.10304,1.55823,0.542786,-0.261426,1.89142,78.9454,534.525,-755.048,-264.055,126.037,-916.79,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523, , , , , , , , , , , , , , , , , , ,0.774978,0.0302183,0.915864,0.83685,-0.0563128,1.47483,0.786527,0.0638751,1.68819,0.863102,0.105572,1.47436,0.854937,0.195172,1.20394,0.802887,0.0817181,0.823911,0.810598,-0.218197,1.4753,0.825648,-0.321238,1.21001,0.805229,-0.167459,0.841315,9.64613,0.281633,0.677556
0.133419,88,2.29058,-0.997687,1.17449,-1.6802,1.54995,-0.576869,-0.193768,-1.20996,1.71051,0.573699,-0.300507,2.07006,94.5103,594.957,-841.013,-283.322,146.988,-1018.15,0,0,0,0,0,0,0.970388,0.0419681,0.956704,1.02823,-0.0866887,1.50794,0.993888,0.0466827,1.71659,1.0714,0.075301,1.55815,0.828222,0.11694,1.41547,0.475539,-0.231636,1.35136,0.985062,-0.248678,1.45773,0.769786,-0.154512,1.29644,0.952057,0.309254,1.25523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978325,0.0433681,0.952466,1.01978,-0.0842505,1.50542,0.947567,0.040083,1.70993,1.06101,0.0779515,1.55656,0.805474,0.117534,1.43674,0.447358,-0.223824,1.36444,0.978552,-0.246452,1.45428,0.764736,-0.147689,1.2938,0.837632,0.346523,1.27279, , , , , , , , , , , , , , , , , , ,0.774978,0.0302183,0.915864,0.83685,-0.0563128,1.47483,0.786527,0.0638751,1.68819,0.863102,0.105572,1.47436,0.854937,0.195172,1.20394,0.802887,0.0817181,0.823911,0.810598,-0.218197,1.4753,0.825648,-0.321238,1.21001,0.805229,-0.167459,0.841315,9.64613,0.277794,0.743452
0.150095,84,2.28722,-1.01793,1.20312,-1.67079,1.5448,-0.542278,-0.213248,-1.24962,1.76776,0.571572,-0.323609,2.13339,105.037,620.249,-877.354,-284.987,159.807,-1059.18,0,0,0,0,0,0,0.978325,0.0433681,0.952466,1.01978,-0.0842505,1.50542,0.947567,0.040083,1.70993,1.06101,0.0779515,1.55656,0.805474,0.117534,1.43674,0.447358,-0.223824,1.36444,0.978552,-0.246452,1.45428,0.764736,-0.147689,1.2938,0.837632,0.346523,1.27279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978325,0.0433681,0.952466,1.01978,-0.0842505,1.50542,0.947567,0.040083,1.70993,1.06101,0.0779515,1.55656,0.805474,0.117534,1.43674,0.447358,-0.223824,1.36444,0.978552,-0.246452,1.45428,0.764736,-0.147689,1.2938,0.837632,0.346523,1.27279, , , , , , , , , , , , , , , , , , ,0.772074,0.0295792,0.915458,0.843129,-0.0538935,1.4738,0.796918,0.0643795,1.68915,0.871122,0.107699,1.47339,0.874392,0.19176,1.20109,0.802854,0.0858573,0.822054,0.815135,-0.215486,1.47421,0.839443,-0.323088,1.21142,0.807095,-0.164877,0.845467,9.64613,0.277794,0.768005
0.166733,80,2.2834,-1.03931,1.23341,-1.66132,1.53905,-0.505815,-0.257982,-1.38031,1.96094,0.586735,-0.390016,2.35313,129.469,703.129,-997.892,-303.157,195.395,-1198.77,0,0,0,0,0,0,0.978325,0.0433681,0.952466,1.01978,-0.0842505,1.50542,0.947567,0.040083,1.70993,1.06101,0.0779515,1.55656,0.805474,0.117534,1.43674,0.447358,-0.223824,1.36444,0.978552,-0.246452,1.45428,0.764736,-0.147689,1.2938,0.837632,0.346523,1.27279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978325,0.0433681,0.952466,1.01978,-0.0842505,1.50542,0.947567,0.040083,1.70993,1.06101,0.0779515,1.55656,0.805474,0.117534,1.43674,0.447358,-0.223824,1.36444,0.978552,-0.246452,1.45428,0.764736,-0.147689,1.2938,0.837632,0.346523,1.27279, , , , , , , , , , , , , , , , , , ,0.772074,0.0295792,0.915458,0.843129,-0.0538935,1.4738,0.796918,0.0643795,1.68915,0.871122,0.107699,1.47339,0.874392,0.19176,1.20109,0.802854,0.0858573,0.822054,0.815135,-0.215486,1.47421,0.839443,-0.323088,1.21142,0.807095,-0.164877,0.845467,9.64613,0.259324,0.848716
