t,spd scale,edo_joint_1 pos,edo_joint_2 pos,edo_joint_3 pos,edo_joint_4 pos,edo_joint_5 pos,edo_joint_6 pos,edo_joint_1 vel,edo_joint_2 vel,edo_joint_3 vel,edo_joint_4 vel,edo_joint_5 vel,edo_joint_6 vel,edo_joint_1 acc,edo_joint_2 acc,edo_joint_3 acc,edo_joint_4 acc,edo_joint_5 acc,edo_joint_6 acc,edo_joint_1 effort,edo_joint_2 effort,edo_joint_3 effort,edo_joint_4 effort,edo_joint_5 effort,edo_joint_6 effort,act human j0 x, y, z,act human j1 x, y, z,act human j2 x, y, z,act human j3 x, y, z,act human j4 x, y, z,act human j5 x, y, z,act human j6 x, y, z,act human j7 x, y, z,act human j8 x, y, z,act human j9 x, y, z,act human j10 x, y, z,act human j11 x, y, z,act human j12 x, y, z,act human j13 x, y, z,act human j14 x, y, z,act human j15 x, y, z,act human j16 x, y, z,act human j17 x, y, z,act human j18 x, y, z,act human j19 x, y, z,act human j20 x, y, z,act human j21 x, y, z,act human j22 x, y, z,act human j23 x, y, z,act human j24 x, y, z,act human j25 x, y, z,act human j26 x, y, z,act human j27 x, y, z,act human j28 x, y, z,act human j29 x, y, z,act human j30 x, y, z,act human j31 x, y, z,act human j32 x, y, z,act human j33 x, y, z,act human j34 x, y, z,act human j35 x, y, z,act human j36 x, y, z,act human j37 x, y, z,act human j38 x, y, z,act human j39 x, y, z,act human j40 x, y, z,act human j41 x, y, z,act human j42 x, y, z,act human j43 x, y, z,act human j44 x, y, z,act human j45 x, y, z,act human j46 x, y, z,act human j47 x, y, z,act human j48 x, y, z,act human j49 x, y, z,act human j50 x, y, z,act human j51 x, y, z,act human j52 x, y, z,act human j53 x, y, z,act human j54 x, y, z,act human j55 x, y, z,act human j56 x, y, z,act human j57 x, y, z,skel pt 0 x, y, z,skel pt 1 x, y, z,skel pt 2 x, y, z,skel pt 3 x, y, z,skel pt 4 x, y, z,skel pt 5 x, y, z,skel pt 6 x, y, z,skel pt 7 x, y, z,skel pt 8 x, y, z,skel pt 9 x, y, z,skel pt 10 x, y, z,skel pt 11 x, y, z,skel pt 12 x, y, z,skel pt 13 x, y, z,skel pt 14 x, y, z,pred pelvis x, y, z,pred spine top x, y, z,pred head top x, y, z,pred l shoulder x, y, z,pred l elbow x, y, z,pred l wrist x, y, z,pred r shoulder x, y, z,pred r elbow x, y, z,pred r wrist x, y, z,plan time,min sep dist, tip speed
0.0167571,100,-1.26933e-07,1.51767,0.314001,-1.034e-07,-0.0697773,7.36881e-07,-3.28296e-05,-0.000131833,0.000156997,-3.0023e-05,0.000129604,0.000213986,-0.0103872,-0.0507591,0.060443,-0.0115561,0.0498995,0.0823923,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141676,0.994196,-0.0471547,-0.106542,1.08168,0.51398,-0.163869,0.95746,0.723222,-0.264241,1.12669,0.512622,-0.390321,1.14161,0.257463,-0.286314,0.978037,-0.0924297,0.0511567,1.03668,0.515339,0.0987084,1.01889,0.234898,-0.107371,0.948137,-0.100551,19.973,0.806652,2.96857e-05
0.0340096,100,-2.37095e-06,1.51765,0.314014,-2.75439e-06,-0.0697659,1.96568e-05,-0.000250312,-0.00136881,0.00162937,-0.000311193,0.00134544,0.00222217,-0.0305972,-0.18092,0.2153,-0.041086,0.177813,0.293745,0,0,0,0,0,0,-0.141676,0.994196,-0.0471547,-0.106542,1.08168,0.51398,-0.163869,0.95746,0.723222,-0.264241,1.12669,0.512622,-0.390321,1.14161,0.257463,-0.286314,0.978037,-0.0924297,0.0511567,1.03668,0.515339,0.0987084,1.01889,0.234898,-0.107371,0.948137,-0.100551,-0.124109,1.03794,0.233413,-0.135205,1.01957,0.618601,-0.327281,1.13415,0.385043,-0.338318,1.05983,0.0825169,0.0749326,1.02778,0.375118,-0.00433113,0.983511,0.0671733,-0.124109,1.03794,0.233413,-0.135205,1.01957,0.618601,-0.327281,1.13415,0.385043,-0.338318,1.05983,0.0825169,0.0749326,1.02778,0.375118,-0.00433113,0.983511,0.0671733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141676,0.994196,-0.0471547,-0.106542,1.08168,0.51398,-0.163869,0.95746,0.723222,-0.264241,1.12669,0.512622,-0.390321,1.14161,0.257463,-0.286314,0.978037,-0.0924297,0.0511567,1.03668,0.515339,0.0987084,1.01889,0.234898,-0.107371,0.948137,-0.100551,19.973,0.806652,0.000292899
0.0500806,100,-1.13655e-05,1.5176,0.314076,-1.45377e-05,-0.0697149,0.000103917,-0.000734301,-0.00432763,0.00514887,-0.000981925,0.00425296,0.00702703,-0.0500804,-0.310853,0.369638,-0.0703763,0.305425,0.504864,0,0,0,0,0,0,-0.141676,0.994196,-0.0471547,-0.106542,1.08168,0.51398,-0.163869,0.95746,0.723222,-0.264241,1.12669,0.512622,-0.390321,1.14161,0.257463,-0.286314,0.978037,-0.0924297,0.0511567,1.03668,0.515339,0.0987084,1.01889,0.234898,-0.107371,0.948137,-0.100551,-0.124109,1.03794,0.233413,-0.135205,1.01957,0.618601,-0.327281,1.13415,0.385043,-0.338318,1.05983,0.0825169,0.0749326,1.02778,0.375118,-0.00433113,0.983511,0.0671733,-0.124109,1.03794,0.233413,-0.135205,1.01957,0.618601,-0.327281,1.13415,0.385043,-0.338318,1.05983,0.0825169,0.0749326,1.02778,0.375118,-0.00433113,0.983511,0.0671733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,19.973,0.806652,0.00092395
0.0668688,100,-2.8417e-05,1.5175,0.314198,-3.77647e-05,-0.0696142,0.00027034,-0.00136758,-0.00830394,0.00987526,-0.00188074,0.00815925,0.0134861,-0.0726698,-0.458311,0.544628,-0.103493,0.450197,0.744547,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,19.973,0.827034,0.00177146
0.0834184,100,-5.69077e-05,1.51733,0.314406,-7.73586e-05,-0.0694422,0.000554601,-0.00214009,-0.0132352,0.0157323,-0.00299205,0.0130022,0.0214987,-0.081235,-0.520762,0.618342,-0.117217,0.511386,0.846277,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,19.973,0.827034,0.00282208
0.100092,100,-0.000105882,1.51702,0.314769,-0.000146349,-0.0691421,0.001051,-0.00321061,-0.0201422,0.0239297,-0.00454378,0.0197837,0.0327254,-0.0606156,-0.400828,0.475121,-0.0896051,0.393356,0.651823,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,19.973,0.806648,0.00429331
0.116787,100,-0.000167145,1.51663,0.315228,-0.000233463,-0.0687624,0.00167921,-0.00429677,-0.02722,0.0323225,-0.00612844,0.0267305,0.0442333,-0.0901512,-0.593147,0.702889,-0.132449,0.582028,0.964677,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,19.973,0.806648,0.00580055
0.133392,100,-0.00024737,1.51612,0.315835,-0.000348297,-0.068261,0.00250904,-0.00559676,-0.0357326,0.0424113,-0.00803022,0.035084,0.0580774,-0.112162,-0.739534,0.876003,-0.164868,0.725561,1.20295,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,19.973,0.806643,0.00761315
0.150081,100,-0.000362618,1.51538,0.316711,-0.000514176,-0.0675355,0.00371025,-0.00685875,-0.0441101,0.0523285,-0.00989315,0.0433013,0.0717079,0.00715552,0.0207928,-0.0268678,0.00632889,-0.021099,-0.032599,0,0,0,0,0,0,-0.145291,0.969427,-0.0384685,-0.0949575,1.07355,0.518655,-0.152523,0.947853,0.726952,-0.252702,1.11822,0.52275,-0.392143,1.13846,0.275017,-0.257953,0.944343,-0.0479561,0.0627868,1.02887,0.514561,0.116954,1.02125,0.234859,-0.131466,0.894287,-0.0517886,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,-0.120124,1.02149,0.240093,-0.12374,1.0107,0.622804,-0.322422,1.12834,0.398883,-0.325048,1.0414,0.11353,0.0898704,1.02506,0.37471,-0.00725591,0.957771,0.0915353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157367,0.937117,-0.0248046,-0.0867746,1.06908,0.524161,-0.155224,0.936753,0.72492,-0.246807,1.10413,0.531733,-0.398506,1.16231,0.29758,-0.218235,0.936612,0.0208785,0.0732577,1.03403,0.51659,0.130796,1.0402,0.237527,-0.166557,0.85267,0.0467079,19.973,0.806643,0.00939642
0.166756,100,-0.000489166,1.51457,0.31768,-0.000697131,-0.066734,0.00503786,-0.00868213,-0.0561558,0.0665886,-0.0125722,0.0551167,0.0913062,-0.0904956,-0.613911,0.72515,-0.135312,0.601672,0.999725,0,0,0,0,0,0,-0.157367,0.937117,-0.0248046,-0.0867746,1.06908,0.524161,-0.155224,0.936753,0.72492,-0.246807,1.10413,0.531733,-0.398506,1.16231,0.29758,-0.218235,0.936612,0.0208785,0.0732577,1.03403,0.51659,0.130796,1.0402,0.237527,-0.166557,0.85267,0.0467079,-0.122071,1.0031,0.249678,-0.120999,1.00292,0.624541,-0.322656,1.13322,0.414657,-0.30837,1.04946,0.159229,0.102027,1.03712,0.377058,-0.0178805,0.946437,0.142117,-0.122071,1.0031,0.249678,-0.120999,1.00292,0.624541,-0.322656,1.13322,0.414657,-0.30837,1.04946,0.159229,0.102027,1.03712,0.377058,-0.0178805,0.946437,0.142117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157367,0.937117,-0.0248046,-0.0867746,1.06908,0.524161,-0.155224,0.936753,0.72492,-0.246807,1.10413,0.531733,-0.398506,1.16231,0.29758,-0.218235,0.936612,0.0208785,0.0732577,1.03403,0.51659,0.130796,1.0402,0.237527,-0.166557,0.85267,0.0467079,19.973,0.806632,0.0119608
