time,iteration,cost, 
0.0118815,0,537900, 
0.632391,1,5.82454, 
1.60333,2,5.69762, 
2.55989,3,5.69762, 
3.73247,4,5.55097, 
4.62186,5,5.55097, 
time,iteration,cost, 
0.0114563,0,2.16894e+19, 
0.541033,1,13.2149, 
0.72615,2,13.2149, 
1.19052,3,13.2049, 
1.64274,4,11.8451, 
2.09281,5,11.8451, 
2.53422,6,11.8451, 
3.15209,7,7.61688, 
4.02564,8,7.61688, 
4.86329,9,7.61688, 
time,iteration,cost, 
0.0185889,0,537900, 
0.548977,1,14.0837, 
0.881295,2,11.1297, 
1.53637,3,9.52875, 
2.06626,4,9.52875, 
2.4799,5,9.52875, 
2.89528,6,9.52875, 
3.35429,7,8.24624, 
4.01413,8,8.24624, 
4.66768,9,5.83729, 
time,iteration,cost, 
0.0142796,0,537900, 
0.688952,1,15.5149, 
0.957459,2,12.6179, 
1.2763,3,12.6179, 
1.72384,4,12.6179, 
2.32423,5,7.33543, 
2.91468,6,7.33543, 
3.51343,7,7.33543, 
4.19901,8,7.33543, 
time,iteration,cost, 
0.0122659,0,537900, 
0.578585,1,537900, 
1.01059,2,537900, 
1.30952,3,12.1826, 
1.66385,4,12.1826, 
2.10722,5,12.1826, 
2.55913,6,7.69554, 
3.17047,7,7.38247, 
3.88911,8,6.36369, 
4.75431,9,6.36369, 
time,iteration,cost, 
0.0113645,0,537900, 
0.60118,1,18.7443, 
1.0131,2,12.2966, 
1.29632,3,12.2966, 
1.75356,4,12.2228, 
2.16229,5,12.2228, 
2.56637,6,10.7959, 
3.17184,7,10.7959, 
3.8578,8,10.7959, 
4.43537,9,10.7959, 
time,iteration,cost, 
0.0192275,0,537900, 
0.713697,1,6.17381, 
1.37217,2,6.17381, 
2.44017,3,6.17381, 
3.50897,4,6.17381, 
4.5783,5,6.17381, 
time,iteration,cost, 
0.0112512,0,537900, 
0.544478,1,10.4435, 
0.963966,2,10.4435, 
1.30612,3,10.4435, 
1.80917,4,10.4435, 
2.19978,5,7.32253, 
2.9267,6,7.32253, 
3.77929,7,7.32253, 
4.45709,8,7.32253, 
