time,iteration,cost, 
0.793525,0,2.2863e+06, 
0.946462,1,2.2863e+06, 
1.10617,2,2.2863e+06, 
1.31317,3,21.7976, 
1.55045,4,9.98478, 
1.88966,5,9.98478, 
2.26497,6,9.98478, 
2.62674,7,9.4891, 
2.95415,8,9.4891, 
3.26921,9,9.4891, 
3.57645,10,9.4891, 
3.98776,11,9.4891, 
4.48029,12,9.20077, 
4.94611,13,9.20077, 
time,iteration,cost, 
0.0137222,0,2.2863e+06, 
0.225416,1,2.2863e+06, 
0.407205,2,10.4865, 
0.614127,3,9.71592, 
0.865847,4,9.71592, 
1.20392,5,9.71592, 
1.46116,6,9.71592, 
1.85591,7,9.71592, 
2.17404,8,9.71592, 
2.55942,9,9.71592, 
2.96539,10,9.71592, 
3.39561,11,8.83272, 
3.69173,12,8.83272, 
4.13432,13,8.83272, 
4.4965,14,8.83272, 
time,iteration,cost, 
0.0102444,0,2.2863e+06, 
0.207993,1,2.2863e+06, 
0.38648,2,11.2341, 
0.580688,3,11.219, 
0.85782,4,11.219, 
1.15724,5,11.219, 
1.47166,6,11.219, 
1.86763,7,10.8326, 
2.23698,8,10.4774, 
2.5794,9,10.4457, 
2.89451,10,9.29214, 
3.49489,11,9.29214, 
4.00474,12,9.29214, 
4.55726,13,8.99874, 
time,iteration,cost, 
0.0134947,0,2.2863e+06, 
0.155983,1,20.14, 
0.27694,2,20.14, 
0.411478,3,20.14, 
0.638078,4,10.875, 
0.919469,5,10.875, 
1.20583,6,10.4085, 
1.50031,7,10.2183, 
1.88943,8,10.2183, 
2.32659,9,10.0396, 
2.74215,10,10.0396, 
3.13934,11,10.0396, 
3.68784,12,10.0396, 
4.2325,13,10.0396, 
4.86935,14,9.24261, 
time,iteration,cost, 
0.0173497,0,2.2863e+06, 
0.244737,1,21.0767, 
0.552588,2,21.0767, 
0.776412,3,21.0767, 
1.07991,4,9.53146, 
1.49391,5,9.49084, 
1.77237,6,9.49084, 
2.05191,7,9.49084, 
2.42328,8,9.49084, 
2.74335,9,9.49084, 
3.15036,10,9.49084, 
3.66827,11,9.49084, 
4.19186,12,9.43165, 
4.74393,13,9.28363, 
time,iteration,cost, 
0.0131165,0,2.2863e+06, 
0.159554,1,2.2863e+06, 
0.276915,2,2.2863e+06, 
0.458713,3,11.056, 
0.642923,4,11.056, 
0.895183,5,9.9713, 
1.17079,6,9.3388, 
1.52045,7,9.3388, 
1.83744,8,9.3388, 
2.16289,9,9.3388, 
2.66547,10,9.3388, 
3.14925,11,9.3388, 
3.695,12,8.80782, 
4.26681,13,8.80782, 
4.74051,14,8.80782, 
time,iteration,cost, 
0.0106441,0,2.2863e+06, 
0.256333,1,11.787, 
0.414791,2,11.787, 
0.668423,3,11.787, 
0.905985,4,11.787, 
1.16362,5,9.80248, 
1.4816,6,9.80248, 
1.71892,7,9.80248, 
1.97609,8,9.60445, 
2.19427,9,9.60445, 
2.48303,10,9.60445, 
2.97389,11,9.46963, 
3.48663,12,9.42183, 
4.05294,13,9.31021, 
4.55956,14,9.31021, 
time,iteration,cost, 
0.0125356,0,2.2863e+06, 
0.245831,1,21.9003, 
0.370358,2,21.9003, 
0.675032,3,11.2044, 
0.980408,4,10.8084, 
1.25598,5,10.2226, 
1.49002,6,10.2226, 
1.749,7,10.2226, 
2.19921,8,10.2226, 
2.58007,9,9.12564, 
2.97198,10,9.12564, 
3.34837,11,9.12564, 
3.74766,12,9.12564, 
4.37516,13,9.12564, 
4.91713,14,9.12564, 
time,iteration,cost, 
0.0100662,0,2.2863e+06, 
0.201451,1,2.2863e+06, 
0.363266,2,2.2863e+06, 
0.655879,3,9.56557, 
0.919633,4,9.56557, 
1.13992,5,9.32459, 
1.42686,6,9.32459, 
1.66079,7,9.32459, 
2.01038,8,9.32459, 
2.45499,9,9.32459, 
2.87556,10,9.32459, 
3.25238,11,9.32459, 
3.66345,12,9.32459, 
4.17902,13,8.95279, 
4.6727,14,8.95279, 
time,iteration,cost, 
0.0119859,0,2.2863e+06, 
0.238573,1,2.2863e+06, 
0.39439,2,18.9632, 
0.592394,3,9.5141, 
0.856102,4,9.5141, 
1.08132,5,9.5141, 
1.39419,6,9.5141, 
1.73,7,9.5141, 
2.02747,8,9.5141, 
2.37519,9,9.5141, 
2.72652,10,9.5141, 
3.09876,11,9.5141, 
3.55698,12,9.5141, 
4.13784,13,9.5141, 
4.59044,14,9.5141, 
