time,iteration,cost, 
0.0134266,0,537900, 
0.387194,1,537900, 
0.569715,2,537900, 
0.843178,3,18.8938, 
1.05275,4,16.8339, 
1.28283,5,16.8339, 
1.51748,6,16.8339, 
1.72521,7,16.8339, 
1.98439,8,6.7474, 
2.44174,9,6.7474, 
3.15464,10,6.7474, 
3.63394,11,6.7474, 
4.06551,12,6.7474, 
4.54565,13,6.7474, 
5.18147,14,6.7474, 
5.8052,15,6.7474, 
6.25934,16,6.7474, 
time,iteration,cost, 
0.0103231,0,537900, 
0.34704,1,19.9167, 
0.494278,2,19.9167, 
0.912482,3,13.3931, 
1.05476,4,13.3931, 
1.31087,5,13.3931, 
1.50589,6,13.3931, 
1.71882,7,12.2532, 
1.93429,8,12.2532, 
2.24777,9,12.2532, 
2.61763,10,12.2532, 
3.06751,11,12.2532, 
3.40346,12,9.8547, 
3.8239,13,9.8547, 
4.29995,14,9.8547, 
4.60923,15,9.48222, 
5.07389,16,9.48222, 
5.30846,17,9.48222, 
5.54176,18,9.48222, 
6.052,19,9.48222, 
6.46397,20,9.48222, 
6.72828,21,9.48222, 
time,iteration,cost, 
0.0178628,0,537900, 
0.446028,1,537900, 
0.726206,2,537900, 
0.982761,3,537900, 
1.20772,4,537900, 
1.35978,5,537900, 
1.59387,6,537900, 
1.78917,7,537900, 
1.96971,8,537900, 
2.28359,9,537900, 
2.54245,10,537900, 
2.76093,11,537900, 
3.04433,12,13.8256, 
3.26514,13,13.8256, 
3.51681,14,13.8256, 
3.8292,15,12.0916, 
4.20954,16,12.0916, 
4.79547,17,7.69108, 
5.3921,18,7.69108, 
5.78076,19,7.69108, 
6.11826,20,7.69108, 
6.7198,21,7.69108, 
time,iteration,cost, 
0.0102119,0,537900, 
0.409326,1,537900, 
0.555994,2,15.2483, 
0.799761,3,15.2483, 
0.972927,4,15.2483, 
1.25565,5,15.2483, 
1.43347,6,15.2483, 
1.7286,7,9.68138, 
1.96541,8,9.68138, 
2.22002,9,9.68138, 
2.6199,10,9.51377, 
3.09286,11,9.51377, 
3.4584,12,9.51377, 
3.98364,13,9.51377, 
4.60759,14,9.51377, 
4.98119,15,9.33239, 
5.38672,16,9.33239, 
5.77129,17,9.33239, 
6.08632,18,9.33239, 
6.37616,19,9.33239, 
6.7852,20,9.33239, 
time,iteration,cost, 
0.00984209,0,537900, 
0.674721,1,14.5495, 
1.01241,2,14.5495, 
1.31787,3,14.5495, 
1.54674,4,12.4529, 
1.7476,5,12.4529, 
1.96702,6,12.4529, 
2.16069,7,12.4529, 
2.34595,8,12.4529, 
2.66397,9,12.4529, 
2.91298,10,12.4529, 
3.09216,11,12.4529, 
3.31747,12,12.1218, 
3.68182,13,12.1218, 
4.02405,14,12.1218, 
4.44772,15,12.1218, 
4.77212,16,12.1218, 
5.10594,17,12.1218, 
5.48187,18,6.11302, 
6.17101,19,6.11302, 
6.92204,20,6.11302, 
time,iteration,cost, 
0.0161399,0,537900, 
0.61957,1,537900, 
0.984259,2,13.9372, 
1.2941,3,13.9372, 
1.57133,4,13.9372, 
1.70877,5,13.319, 
2.08411,6,12.2118, 
2.25867,7,12.2118, 
2.4719,8,12.2118, 
2.74411,9,12.2118, 
3.0482,10,12.2118, 
3.35873,11,12.2118, 
3.56522,12,12.2118, 
3.81973,13,12.2118, 
4.13895,14,12.2118, 
4.43138,15,12.2118, 
4.69351,16,12.2118, 
5.06481,17,12.2118, 
5.35312,18,7.95691, 
5.9647,19,7.95691, 
6.46564,20,7.95691, 
time,iteration,cost, 
0.00943305,0,537900, 
0.448882,1,16.0466, 
0.60276,2,15.6677, 
0.95995,3,12.8038, 
1.25883,4,12.2765, 
1.53131,5,12.2765, 
1.71808,6,12.2765, 
1.85518,7,12.2765, 
2.13258,8,12.2765, 
2.29632,9,12.2765, 
2.5563,10,12.2765, 
2.73522,11,12.2765, 
2.97586,12,12.2765, 
3.22064,13,12.2765, 
3.49823,14,12.2765, 
3.86276,15,12.2765, 
4.24506,16,12.2765, 
4.6092,17,11.3517, 
5.11025,18,11.3517, 
5.67411,19,11.3517, 
5.94216,20,11.3517, 
6.42697,21,11.3517, 
6.91554,22,11.3517, 
time,iteration,cost, 
0.009334,0,537900, 
0.42325,1,537900, 
0.702149,2,11.4179, 
1.07455,3,10.8524, 
1.26912,4,10.8524, 
1.46274,5,10.8524, 
1.83638,6,10.8524, 
2.15864,7,10.8524, 
2.39178,8,10.8524, 
2.67559,9,10.8524, 
2.99609,10,10.8524, 
3.3885,11,10.8108, 
3.75365,12,10.8108, 
4.35713,13,10.8108, 
4.78233,14,10.8108, 
5.08471,15,10.8108, 
5.34414,16,10.8108, 
5.66395,17,10.8108, 
6.09286,18,10.8108, 
6.45835,19,10.8108, 
6.93688,20,9.58992, 
time,iteration,cost, 
0.0107284,0,537900, 
0.60594,1,16.6047, 
1.00255,2,16.6047, 
1.36115,3,16.6047, 
1.53397,4,16.6047, 
1.70484,5,16.6047, 
1.87783,6,16.6047, 
2.05441,7,16.6047, 
2.23329,8,16.6047, 
2.51665,9,16.6047, 
2.66092,10,16.6047, 
2.91255,11,9.7143, 
3.41791,12,9.7143, 
3.76929,13,9.7143, 
4.08245,14,9.7143, 
4.61134,15,9.7143, 
5.04785,16,9.7143, 
5.54099,17,9.7143, 
5.90002,18,9.7143, 
6.21044,19,9.7143, 
6.62452,20,9.7143, 
time,iteration,cost, 
0.0139165,0,537900, 
0.308736,1,537900, 
0.469727,2,537900, 
0.598039,3,537900, 
0.738778,4,537900, 
1.17156,5,537900, 
1.43289,6,537900, 
1.66168,7,537900, 
1.84525,8,537900, 
2.0816,9,537900, 
2.29249,10,537900, 
2.541,11,12.4406, 
2.74224,12,12.4406, 
2.97584,13,12.4406, 
3.30113,14,12.4406, 
3.54262,15,12.4406, 
3.89945,16,12.4406, 
4.31114,17,12.4406, 
4.66091,18,12.4406, 
5.05977,19,12.4406, 
5.32421,20,12.4406, 
5.75737,21,12.4406, 
6.15867,22,12.4406, 
6.60202,23,12.4406, 
time,iteration,cost, 
0.0288985,0,537900, 
0.455586,1,20.1533, 
0.608192,2,9.24351, 
0.94883,3,9.24351, 
1.24218,4,9.24351, 
1.46214,5,9.24351, 
1.91638,6,9.24351, 
2.29124,7,9.24351, 
2.51328,8,9.24351, 
2.83267,9,9.24351, 
3.10502,10,9.24351, 
3.43761,11,9.24351, 
3.87324,12,9.24351, 
4.30009,13,9.24351, 
4.75691,14,9.24351, 
5.02717,15,9.24351, 
5.64112,16,9.24351, 
6.28282,17,9.24351, 
6.74127,18,9.24351, 
time,iteration,cost, 
0.0097798,0,537900, 
0.481003,1,16.5186, 
0.618723,2,16.5186, 
0.829202,3,16.5186, 
0.951115,4,16.5186, 
1.28764,5,16.5186, 
1.50811,6,12.4783, 
1.70111,7,12.4783, 
2.06281,8,12.4783, 
2.39426,9,12.4783, 
2.58709,10,12.4783, 
2.84032,11,12.4783, 
3.03771,12,11.2194, 
3.29098,13,11.2194, 
3.62037,14,10.0138, 
4.00391,15,10.0138, 
4.34749,16,10.0138, 
4.90917,17,10.0138, 
5.25912,18,10.0138, 
5.62726,19,10.0138, 
6.11891,20,10.0138, 
6.6094,21,10.0138, 
time,iteration,cost, 
0.00976299,0,537900, 
0.375082,1,13.5931, 
0.585895,2,13.5931, 
0.84261,3,13.5931, 
1.0118,4,13.5931, 
1.22648,5,13.5931, 
1.46507,6,13.5931, 
1.65182,7,13.5931, 
1.81539,8,13.5931, 
2.02507,9,13.5931, 
2.3409,10,13.5931, 
2.70093,11,13.5931, 
2.96708,12,13.5931, 
3.25944,13,10.1155, 
3.6512,14,10.1155, 
4.00465,15,10.1155, 
4.30265,16,10.1155, 
4.68894,17,10.1155, 
4.9038,18,10.1155, 
5.29916,19,10.1155, 
5.61045,20,10.1155, 
5.93733,21,10.1155, 
6.44264,22,10.1155, 
6.99698,23,10.1155, 
time,iteration,cost, 
0.00965353,0,537900, 
0.461971,1,20.7775, 
0.560021,2,20.7775, 
0.75906,3,18.753, 
0.946884,4,18.753, 
1.20886,5,13.1641, 
1.38898,6,13.1641, 
1.58704,7,13.1641, 
1.7505,8,13.1641, 
1.90531,9,11.0917, 
2.06133,10,11.0917, 
2.56087,11,11.0917, 
2.78692,12,11.0917, 
3.29075,13,11.0917, 
3.98053,14,11.0917, 
4.27089,15,11.0917, 
4.62394,16,11.0917, 
4.87339,17,11.0806, 
5.2118,18,11.0806, 
5.50965,19,11.0806, 
6.02853,20,10.5318, 
6.37538,21,10.5318, 
6.931,22,10.5318, 
time,iteration,cost, 
0.0211703,0,537900, 
0.495052,1,15.99, 
0.639225,2,15.99, 
0.806706,3,15.99, 
1.01709,4,15.99, 
1.1793,5,15.99, 
1.46051,6,9.1303, 
1.83434,7,9.1303, 
2.15852,8,9.1303, 
2.43985,9,9.1303, 
2.84809,10,9.1303, 
3.21731,11,9.1303, 
3.52599,12,9.1303, 
3.95172,13,9.1303, 
4.27043,14,9.1303, 
4.90097,15,7.28874, 
5.62317,16,7.28874, 
6.08334,17,7.28874, 
6.73611,18,7.28874, 
time,iteration,cost, 
0.0157474,0,537900, 
0.435659,1,13.2943, 
0.747301,2,13.2943, 
1.04928,3,13.2943, 
1.26208,4,13.2943, 
1.50359,5,12.2742, 
1.85598,6,12.2742, 
2.12555,7,12.2742, 
2.44657,8,12.2742, 
2.78174,9,11.7762, 
3.09607,10,11.7762, 
3.33491,11,11.7762, 
3.67067,12,9.77402, 
3.93113,13,9.77402, 
4.34902,14,9.5554, 
4.85837,15,9.5554, 
5.16683,16,8.69083, 
5.48054,17,8.69083, 
5.77998,18,8.69083, 
6.26289,19,7.52186, 
time,iteration,cost, 
0.0127546,0,537900, 
0.318038,1,14.2581, 
0.452071,2,14.2581, 
0.606237,3,13.4133, 
0.965341,4,13.4133, 
1.18719,5,13.4133, 
