time,iteration,cost, 
0.00997052,0,2.2863e+06, 
0.1594,1,2.2863e+06, 
0.254316,2,24.2075, 
0.322017,3,24.2075, 
0.437155,4,24.2075, 
0.587725,5,11.2617, 
0.731951,6,11.2617, 
0.920215,7,11.2617, 
1.08536,8,11.2617, 
1.26257,9,11.2617, 
1.48685,10,11.2617, 
1.76211,11,11.2617, 
2.06362,12,11.1915, 
2.339,13,10.737, 
2.62243,14,10.737, 
2.81354,15,10.737, 
3.08832,16,10.737, 
3.44205,17,10.737, 
3.75058,18,10.737, 
4.01422,19,10.4726, 
4.32042,20,10.4726, 
4.59726,21,10.4726, 
4.94249,22,9.7134, 
5.26282,23,9.64651, 
5.57149,24,9.47022, 
6.04748,25,9.47022, 
6.54907,26,9.47022, 
6.94556,27,9.47022, 
time,iteration,cost, 
0.00881168,0,2.2863e+06, 
0.20025,1,21.8322, 
0.293609,2,21.4118, 
0.460606,3,19.9611, 
0.624086,4,11.3334, 
0.838671,5,10.1175, 
1.07744,6,9.85576, 
1.28968,7,9.85576, 
1.4698,8,9.85576, 
1.67415,9,9.85576, 
1.83178,10,9.85576, 
2.08337,11,9.85576, 
2.27433,12,9.85576, 
2.52201,13,9.85576, 
2.80821,14,9.85576, 
3.18921,15,9.04461, 
3.6601,16,9.04461, 
4.03287,17,9.04461, 
4.36195,18,9.04461, 
4.66629,19,9.04461, 
4.997,20,9.04461, 
5.29168,21,9.04461, 
5.57126,22,9.04461, 
6.00198,23,9.04461, 
6.33534,24,9.04461, 
6.69721,25,9.04461, 
time,iteration,cost, 
0.00864,0,2.2863e+06, 
0.191473,1,2.2863e+06, 
0.312197,2,22.2464, 
0.398364,3,22.2464, 
0.529403,4,22.2464, 
0.656221,5,11.3478, 
0.847702,6,11.3478, 
1.0755,7,11.2798, 
1.21837,8,11.2767, 
1.41732,9,9.97152, 
1.68897,10,9.97152, 
1.97808,11,9.50433, 
2.18734,12,9.50433, 
2.42199,13,9.25771, 
2.75283,14,9.25771, 
3.08616,15,9.25771, 
3.36824,16,9.25771, 
3.86982,17,9.25771, 
4.1699,18,9.25771, 
4.4925,19,9.25771, 
4.91535,20,9.25771, 
5.43947,21,9.25771, 
5.83256,22,9.25771, 
6.21689,23,9.25771, 
6.53739,24,9.25771, 
6.8705,25,9.25771, 
time,iteration,cost, 
0.00864945,0,2.2863e+06, 
0.167145,1,20.0964, 
0.255496,2,11.2674, 
0.414432,3,11.2674, 
0.510577,4,11.2674, 
0.637101,5,11.2674, 
0.829052,6,11.2674, 
0.972936,7,11.2674, 
1.21419,8,11.2674, 
1.46974,9,11.2674, 
1.67107,10,11.2674, 
1.93357,11,10.5522, 
2.16508,12,10.5522, 
2.62048,13,10.2291, 
3.03882,14,10.2291, 
3.44086,15,10.2291, 
3.72519,16,10.2291, 
3.99399,17,10.2291, 
4.26503,18,10.2291, 
4.62106,19,10.0286, 
4.83305,20,10.0286, 
5.09975,21,10.0286, 
5.36047,22,10.0286, 
5.72865,23,10.0286, 
6.07708,24,10.0286, 
6.49482,25,10.0286, 
6.80036,26,10.0286, 
time,iteration,cost, 
0.00890024,0,2.2863e+06, 
0.191436,1,2.2863e+06, 
0.338402,2,2.2863e+06, 
0.446927,3,21.8773, 
0.727173,4,21.8773, 
0.999767,5,21.8773, 
1.19702,6,21.8773, 
1.41411,7,10.1979, 
1.65479,8,10.1979, 
1.82805,9,10.1979, 
2.02953,10,10.1979, 
2.22115,11,10.1979, 
2.65397,12,10.1979, 
2.97366,13,10.1458, 
3.32839,14,10.1458, 
3.59348,15,10.1458, 
3.85447,16,10.1458, 
4.14323,17,10.1458, 
4.35194,18,10.1458, 
4.65265,19,10.1458, 
4.89283,20,10.1458, 
5.15618,21,10.1458, 
5.49653,22,10.1458, 
5.77786,23,10.1458, 
6.05066,24,10.1458, 
6.33187,25,10.1458, 
6.67035,26,10.1458, 
time,iteration,cost, 
0.0196161,0,2.2863e+06, 
0.462356,1,2.2863e+06, 
0.637316,2,22.4789, 
0.791037,3,22.4789, 
1.03904,4,9.69541, 
1.20268,5,9.69541, 
1.38799,6,9.69541, 
1.49439,7,9.69541, 
1.63336,8,9.69541, 
1.84738,9,8.68119, 
2.0861,10,8.68119, 
2.27843,11,8.68119, 
2.52165,12,8.68119, 
2.8303,13,8.68119, 
3.12238,14,8.68119, 
3.40732,15,8.68119, 
3.77216,16,8.63474, 
4.15442,17,8.63474, 
4.42195,18,8.63474, 
4.67708,19,8.63474, 
5.00526,20,8.63474, 
5.37739,21,8.63474, 
5.72963,22,8.63474, 
6.06927,23,8.63474, 
6.43897,24,8.63474, 
6.99319,25,8.63474, 
time,iteration,cost, 
0.0144152,0,2.2863e+06, 
0.148808,1,2.2863e+06, 
0.242951,2,2.2863e+06, 
0.320669,3,2.2863e+06, 
0.412096,4,21.8414, 
0.508537,5,21.8414, 
0.639936,6,21.8414, 
0.794431,7,21.8414, 
0.988533,8,12.2943, 
1.13359,9,12.2943, 
1.42907,10,12.2943, 
1.59327,11,12.2943, 
1.78159,12,12.2943, 
2.00216,13,12.2943, 
2.25668,14,12.2943, 
2.56996,15,11.8144, 
2.74115,16,11.8144, 
3.03769,17,11.8144, 
3.47625,18,11.8144, 
3.9058,19,11.8144, 
4.10915,20,11.8144, 
4.42704,21,11.8144, 
4.69991,22,11.8144, 
5.18518,23,11.8144, 
5.49952,24,11.8144, 
5.76674,25,11.8144, 
6.0898,26,11.8144, 
6.49783,27,11.0484, 
6.87722,28,11.0484, 
time,iteration,cost, 
0.00864075,0,2.2863e+06, 
0.264557,1,21.7906, 
0.434828,2,21.7906, 
0.535945,3,21.7906, 
0.687411,4,12.8128, 
0.858175,5,12.8128, 
1.02303,6,11.4155, 
1.19609,7,11.4155, 
1.36125,8,11.4155, 
1.53415,9,11.4155, 
1.72577,10,11.4155, 
1.95833,11,10.7198, 
2.21531,12,10.7198, 
2.56341,13,10.7198, 
2.87676,14,10.7198, 
3.10812,15,10.7198, 
3.33734,16,10.7198, 
3.56708,17,10.7198, 
3.8439,18,10.7198, 
4.10568,19,10.7198, 
4.38222,20,10.7198, 
4.69392,21,10.7198, 
5.06649,22,10.7198, 
5.35708,23,10.7198, 
5.67131,24,10.7198, 
6.01709,25,10.7198, 
6.5625,26,10.5575, 
6.94228,27,10.5575, 
time,iteration,cost, 
0.0109467,0,2.2863e+06, 
0.206598,1,2.2863e+06, 
0.375211,2,21.8839, 
0.536452,3,21.8839, 
0.64727,4,21.8839, 
0.791792,5,21.8839, 
0.938818,6,11.929, 
1.15954,7,11.929, 
1.37473,8,11.929, 
1.50365,9,11.929, 
1.67552,10,11.929, 
1.82782,11,11.929, 
2.07452,12,11.929, 
2.41589,13,9.70727, 
2.88272,14,9.70727, 
3.19133,15,9.70727, 
3.44289,16,9.70727, 
3.71219,17,9.55497, 
4.04612,18,9.55497, 
4.3715,19,9.55497, 
4.68025,20,9.55497, 
5.00926,21,9.55497, 
5.42828,22,9.55497, 
5.80949,23,9.09498, 
6.2657,24,9.09498, 
6.64331,25,9.09498, 
time,iteration,cost, 
0.00900032,0,2.2863e+06, 
0.189875,1,2.2863e+06, 
0.304998,2,23.107, 
0.456882,3,12.166, 
0.615112,4,12.166, 
0.791731,5,12.166, 
1.00498,6,12.166, 
1.26699,7,12.166, 
1.64719,8,11.1386, 
1.82342,9,11.1386, 
2.04939,10,9.53141, 
2.2552,11,9.53141, 
2.43912,12,9.53141, 
2.64679,13,9.53141, 
2.83965,14,9.53141, 
3.08823,15,9.53141, 
3.35024,16,9.53141, 
3.6829,17,9.53141, 
3.92417,18,9.53141, 
