time,iteration,cost, 
0.105261,0,2.96556, 
time,iteration,cost, 
0.00363013,0,inf, 
0.00440329,1,inf, 
0.00481172,2,inf, 
0.00542251,3,inf, 
0.00601216,4,inf, 
0.00653159,5,3.96741, 
0.00775075,6,3.36839, 
0.00913281,7,3.16867, 
0.00970531,8,3.16867, 
0.0104874,9,3.16867, 
0.0119403,10,3.16867, 
0.0128401,11,3.16867, 
0.0142735,12,3.16867, 
0.0151615,13,3.16867, 
0.0163457,14,3.16867, 
0.0176629,15,3.16867, 
0.0201038,16,2.82331, 
0.0210751,17,2.82331, 
0.0219153,18,2.82331, 
0.0251561,19,2.75182, 
0.0260406,20,2.75182, 
0.0274832,21,2.75182, 
0.0289502,22,2.75182, 
0.0302782,23,2.75182, 
0.031914,24,2.75182, 
0.0336026,25,2.75182, 
0.0355889,26,2.75182, 
0.0370196,27,2.75182, 
0.0383981,28,2.75182, 
0.0403789,29,2.75182, 
0.0433344,30,2.75182, 
0.0460969,31,2.71612, 
0.0484585,32,2.71612, 
0.0504104,33,2.71612, 
0.0504376,34,2.71612, 
0.0522036,35,2.71466, 
0.0542847,36,2.71394, 
0.0601794,37,2.61151, 
0.0611876,38,2.61151, 
0.0630169,39,2.61151, 
0.0644031,40,2.61151, 
0.0657358,41,2.61151, 
0.0685959,42,2.61151, 
0.0698563,43,2.61151, 
0.0713129,44,2.61151, 
0.0725428,45,2.61151, 
0.0754421,46,2.61151, 
0.0775674,47,2.61151, 
0.0794254,48,2.61151, 
0.0811144,49,2.61151, 
0.0831012,50,2.61151, 
0.0852417,51,2.61151, 
0.0871203,52,2.61151, 
0.0891175,53,2.61151, 
0.0933256,54,2.61151, 
0.0952739,55,2.61151, 
0.0964804,56,2.61151, 
0.0983945,57,2.61151, 
0.106643,58,2.56182, 
0.110348,59,2.56182, 
0.114733,60,2.56182, 
0.123206,61,2.55454, 
0.125303,62,2.55454, 
0.129152,63,2.55454, 
0.131528,64,2.55454, 
0.13528,65,2.55454, 
0.139584,66,2.55454, 
0.141837,67,2.55454, 
0.150045,68,2.54508, 
0.152954,69,2.54508, 
0.156944,70,2.54508, 
0.158829,71,2.54508, 
0.16313,72,2.54508, 
0.164951,73,2.54508, 
0.174895,74,2.50467, 
0.17934,75,2.50467, 
0.18145,76,2.50467, 
0.186546,77,2.50467, 
0.18824,78,2.50467, 
0.190873,79,2.50467, 
0.193218,80,2.50467, 
0.195702,81,2.50467, 
0.198488,82,2.50467, 
time,iteration,cost, 
0.00403729,0,inf, 
0.00468624,1,inf, 
0.00532701,2,inf, 
0.0059779,3,inf, 
0.00659266,4,inf, 
0.00713768,5,inf, 
0.00775606,6,inf, 
0.00803494,7,inf, 
0.00860125,8,inf, 
0.00912693,9,inf, 
0.00978528,10,inf, 
0.0103805,11,inf, 
0.0109472,12,inf, 
0.0114641,13,inf, 
0.0120842,14,11.4285, 
0.0145058,15,5.45793, 
0.0201841,16,5.45793, 
0.0240505,17,5.45793, 
0.025827,18,4.77698, 
0.0271138,19,4.75397, 
0.0325493,20,4.75397, 
0.0349162,21,4.75397, 
0.036285,22,4.66733, 
0.0376721,23,4.61194, 
0.0390454,24,4.61194, 
0.0406987,25,4.59389, 
0.0418523,26,4.59389, 
0.0433915,27,4.59389, 
0.0451895,28,4.59389, 
0.0471409,29,4.565, 
0.0492169,30,4.43246, 
0.0515027,31,4.43246, 
0.0540654,32,3.51529, 
0.0559489,33,3.51529, 
0.0585756,34,3.49799, 
0.0599008,35,3.49799, 
0.0620544,36,3.49799, 
0.0640137,37,3.49799, 
0.0652738,38,3.49799, 
0.0691881,39,3.49799, 
0.070718,40,3.49799, 
0.0724518,41,3.49799, 
0.0763372,42,3.47305, 
0.0787572,43,3.47305, 
0.0839336,44,3.23723, 
0.0866304,45,3.23723, 
0.09105,46,3.23723, 
0.0940021,47,3.23723, 
0.0968402,48,3.16048, 
0.096877,49,3.16048, 
0.0999756,50,3.16048, 
0.101827,51,3.16048, 
0.105328,52,3.15347, 
0.107568,53,3.15347, 
0.109677,54,3.15347, 
0.1138,55,3.15347, 
0.115977,56,3.15347, 
0.11602,57,3.15347, 
0.123182,58,3.1222, 
0.125519,59,3.1222, 
0.12777,60,3.1222, 
0.130368,61,3.1222, 
0.132455,62,3.1222, 
0.134279,63,3.1222, 
0.136792,64,3.1222, 
0.141153,65,3.1222, 
0.147883,66,3.08033, 
0.154603,67,3.03169, 
0.161791,68,2.98914, 
0.164255,69,2.98914, 
0.171263,70,2.98914, 
0.174612,71,2.94908, 
0.17918,72,2.94908, 
0.183658,73,2.94908, 
0.188226,74,2.94908, 
0.190534,75,2.94908, 
0.190564,76,2.94908, 
0.197272,77,2.94908, 
time,iteration,cost, 
0.00384503,0,inf, 
0.00456345,1,inf, 
0.00521498,2,inf, 
0.0058669,3,inf, 
0.0065165,4,inf, 
0.00714841,5,inf, 
0.00774429,6,inf, 
0.00837311,7,inf, 
0.00895093,8,inf, 
0.00955492,9,inf, 
0.0101778,10,inf, 
0.010271,11,inf, 
0.0107907,12,inf, 
0.0113315,13,inf, 
0.0119502,14,inf, 
0.0125438,15,inf, 
0.0130913,16,inf, 
0.0136443,17,inf, 
0.0142807,18,inf, 
0.0148291,19,inf, 
0.015381,20,inf, 
0.015997,21,inf, 
0.0165911,22,17.5696, 
0.0221981,23,4.57983, 
0.0263786,24,3.24325, 
0.0370615,25,2.22436, 
0.0380802,26,2.22436, 
0.0489467,27,2.22436, 
0.0503572,28,2.22436, 
0.0515881,29,2.22436, 
0.0529378,30,2.22436, 
0.0552345,31,2.2063, 
0.0657537,32,2.2063, 
0.067052,33,2.2063, 
0.0685953,34,2.2063, 
0.0697224,35,2.2063, 
0.072255,36,2.11801, 
0.073179,37,2.11801, 
0.0753122,38,2.09911, 
0.0769608,39,2.09911, 
0.0783465,40,2.09911, 
0.0801884,41,2.09911, 
0.0816688,42,2.09911, 
0.0840448,43,2.09817, 
0.0868178,44,2.09064, 
0.0887745,45,2.09018, 
0.0911317,46,2.09009, 
0.093015,47,2.09009, 
0.0930516,48,2.09009, 
0.0950961,49,2.08943, 
0.0970672,50,2.08943, 
0.099005,51,2.08943, 
0.100862,52,2.08943, 
0.103344,53,2.08943, 
0.105021,54,2.08943, 
0.10711,55,2.08943, 
0.111771,56,2.07101, 
0.114232,57,2.07101, 
0.125734,58,2.07101, 
0.128604,59,2.07101, 
0.130845,60,2.07101, 
0.132099,61,2.07101, 
0.136123,62,2.06803, 
0.138816,63,2.06803, 
0.141115,64,2.06803, 
0.144021,65,2.06803, 
0.146526,66,2.06803, 
0.149566,67,2.06803, 
0.151868,68,2.06803, 
0.154221,69,2.06803, 
0.156903,70,2.06803, 
0.164532,71,2.06803, 
0.167369,72,2.06803, 
0.170629,73,2.06803, 
0.174158,74,2.06803, 
0.177641,75,2.06803, 
0.180635,76,2.06803, 
0.183523,77,2.06803, 
0.187271,78,2.06803, 
0.190826,79,2.06803, 
0.193994,80,2.06803, 
0.197377,81,2.06803, 
time,iteration,cost, 
0.00447844,0,inf, 
0.00494637,1,inf, 
0.005385,2,inf, 
0.00588981,3,inf, 
0.00624871,4,inf, 
0.00694737,5,inf, 
0.00754903,6,inf, 
0.00826694,7,inf, 
0.00882388,8,inf, 
0.00941086,9,inf, 
0.00971981,10,inf, 
0.0102766,11,inf, 
0.0106025,12,inf, 
0.0111494,13,inf, 
0.0118416,14,17.476, 
0.0153066,15,7.05523, 
0.0161865,16,7.05523, 
0.0172634,17,7.05523, 
0.0215026,18,6.49957, 
0.0232728,19,5.81029, 
0.0276215,20,5.81029, 
0.0330577,21,5.81029, 
0.0349666,22,5.81029, 
0.0367259,23,5.81029, 
0.0388792,24,5.67312, 
0.040789,25,5.67312, 
0.0422336,26,5.67312, 
0.0444683,27,5.51482, 
0.0464256,28,5.50364, 
0.0494607,29,5.12802, 
0.0510237,30,5.12802, 
0.0530134,31,5.12802, 
0.0551574,32,5.02564, 
0.0572871,33,5.02564, 
0.0598754,34,5.01748, 
0.0619339,35,5.01748, 
0.0641472,36,5.01073, 
0.0710136,37,5.01073, 
0.072927,38,5.01073, 
0.0729673,39,5.01073, 
0.0729801,40,5.01073, 
0.0752664,41,5.01073, 
0.0774348,42,5.01073, 
0.0800189,43,5.01073, 
0.0818321,44,5.01073, 
0.0845782,45,5.01073, 
0.0872502,46,5.01073, 
0.0903497,47,5.00307, 
0.0932192,48,5.00307, 
0.0955899,49,5.00307, 
0.0983139,50,5.00307, 
0.101161,51,5.00307, 
0.103729,52,5.00307, 
0.107424,53,4.8458, 
0.110005,54,4.8458, 
0.112474,55,4.8458, 
0.115423,56,4.8458, 
0.11804,57,4.8458, 
0.121445,58,4.8458, 
0.125824,59,4.8458, 
0.125854,60,4.8458, 
0.129129,61,4.8458, 
0.132045,62,4.8458, 
0.135457,63,4.8458, 
0.138154,64,4.8458, 
0.141432,65,4.8458, 
0.145065,66,4.8458, 
0.148371,67,4.8458, 
0.152711,68,4.8458, 
0.159117,69,4.70963, 
0.16401,70,4.5612, 
0.167981,71,4.5612, 
0.171894,72,4.5612, 
0.175683,73,4.5612, 
0.179047,74,4.5612, 
0.184363,75,4.5612, 
0.188448,76,4.5603, 
0.191691,77,4.5603, 
0.196033,78,4.5603, 
0.196059,79,4.5603, 
time,iteration,cost, 
0.00482224,0,inf, 
0.00526022,1,inf, 
0.005787,2,inf, 
0.00622951,3,inf, 
0.00661668,4,inf, 
0.00696482,5,inf, 
0.00714214,6,inf, 
0.00722711,7,inf, 
0.00758643,8,inf, 
0.00801206,9,inf, 
0.00844528,10,inf, 
0.00898806,11,inf, 
0.00926486,12,inf, 
0.0098623,13,inf, 
0.0103977,14,inf, 
0.0109692,15,inf, 
0.011366,16,inf, 
0.0120711,17,inf, 
0.0125831,18,inf, 
0.0126726,19,inf, 
0.012976,20,inf, 
0.0133986,21,inf, 
0.0140526,22,inf, 
0.0144463,23,inf, 
0.0149941,24,inf, 
0.0155932,25,inf, 
0.0161669,26,inf, 
0.0162834,27,inf, 
0.0169176,28,24.7236, 
0.0244492,29,13.009, 
0.0290706,30,6.72264, 
0.0348368,31,6.72264, 
0.045852,32,6.09265, 
0.0473832,33,5.64724, 
0.0487307,34,5.64724, 
0.0501683,35,5.64724, 
0.0627234,36,5.64724, 
0.064343,37,5.64724, 
0.0666076,38,4.41149, 
0.0682937,39,4.41149, 
0.0724043,40,4.26573, 
0.0740196,41,4.26573, 
0.0758252,42,4.26573, 
0.0881156,43,4.26573, 
0.0901041,44,4.26573, 
0.0927625,45,4.2571, 
0.095102,46,4.25613, 
0.0973819,47,4.25613, 
0.100053,48,4.24211, 
0.103402,49,4.22316, 
0.106346,50,4.22316, 
0.109165,51,4.22316, 
0.11526,52,4.22316, 
0.11944,53,4.22316, 
0.122583,54,4.22316, 
0.122631,55,4.22316, 
0.126856,56,3.94026, 
0.129365,57,3.94026, 
0.142048,58,3.94026, 
0.144826,59,3.94026, 
0.147117,60,3.94026, 
0.150087,61,3.94026, 
0.152696,62,3.94026, 
0.15573,63,3.94026, 
0.158773,64,3.94026, 
0.162607,65,3.94026, 
0.166187,66,3.94026, 
0.169301,67,3.94026, 
0.173072,68,3.94026, 
0.179221,69,3.86594, 
0.181924,70,3.86594, 
0.184921,71,3.86594, 
0.184947,72,3.86594, 
0.187398,73,3.86594, 
0.190798,74,3.86594, 
0.194035,75,3.86594, 
0.198224,76,3.86594, 
time,iteration,cost, 
0.10842,0,2.96556, 
time,iteration,cost, 
0.00410518,0,inf, 
0.00483677,1,inf, 
0.00549987,2,inf, 
0.0062358,3,inf, 
0.00678802,4,inf, 
0.00740533,5,inf, 
0.00799081,6,inf, 
0.00856445,7,inf, 
0.00889674,8,inf, 
0.00941754,9,inf, 
0.0101166,10,inf, 
0.0107938,11,inf, 
0.0111361,12,inf, 
0.0116918,13,inf, 
0.0124131,14,17.6146, 
0.0160372,15,6.67974, 
0.0174991,16,4.73593, 
0.0186615,17,4.73593, 
0.0201229,18,4.38117, 
0.0261782,19,4.38117, 
0.0270251,20,4.38117, 
0.0283365,21,4.31936, 
0.0300151,22,4.26915, 
0.031493,23,4.26915, 
0.0330619,24,4.26915, 
0.0348672,25,4.2664, 
0.0363268,26,4.2664, 
0.0379096,27,4.26561, 
0.0397069,28,4.26561, 
0.0446742,29,4.19082, 
0.0514141,30,4.19082, 
0.0527452,31,4.19082, 
0.0546783,32,4.19082, 
0.0581126,33,4.18768, 
0.0612143,34,3.70938, 
0.0630249,35,3.70938, 
0.0630584,36,3.70938, 
0.0652861,37,3.53458, 
0.0670995,38,3.42412, 
0.0695662,39,3.42412, 
0.0731544,40,3.3172, 
0.0764239,41,3.29215, 
0.0800329,42,3.29215, 
0.0856251,43,3.11107, 
0.0874156,44,3.11107, 
0.0892306,45,3.11107, 
0.0910123,46,3.11107, 
0.0924368,47,3.11107, 
0.0955575,48,3.11107, 
0.0975111,49,3.11107, 
0.0993502,50,3.11107, 
0.101145,51,3.11107, 
0.110657,52,3.11107, 
