time,iteration,cost, 
0.733598,0,537900, 
1.11594,1,19.332, 
1.36052,2,19.332, 
1.74369,3,12.7478, 
2.11225,4,12.7478, 
2.53545,5,12.3431, 
3.11049,6,9.55325, 
3.81976,7,9.55325, 
4.27865,8,7.14481, 
4.99249,9,7.09359, 
5.67164,10,7.09359, 
time,iteration,cost, 
0.0130181,0,537900, 
0.553902,1,16.7074, 
1.0113,2,12.2336, 
1.26203,3,12.2336, 
1.67125,4,12.2336, 
2.2114,5,11.6615, 
2.65167,6,11.6615, 
3.48984,7,11.6615, 
4.06277,8,11.6615, 
4.61159,9,11.6615, 
5.47064,10,11.6615, 
time,iteration,cost, 
0.0164624,0,537900, 
0.722668,1,16.1206, 
1.01532,2,12.6886, 
1.53213,3,11.9495, 
1.84379,4,11.9495, 
2.18644,5,9.05549, 
2.47561,6,9.05549, 
3.15194,7,8.06615, 
3.86415,8,8.06615, 
4.47397,9,8.06615, 
5.25176,10,6.37297, 
time,iteration,cost, 
0.0107241,0,537900, 
0.526013,1,19.2318, 
0.930151,2,16.0577, 
1.28523,3,16.0577, 
1.65287,4,16.0577, 
2.13503,5,16.0577, 
2.47173,6,13.791, 
3.26069,7,8.86782, 
4.11647,8,8.86782, 
4.84728,9,8.86782, 
5.67314,10,8.86782, 
time,iteration,cost, 
0.0150861,0,537900, 
0.418809,1,16.6574, 
0.670265,2,16.6574, 
1.03094,3,12.0982, 
1.49557,4,9.4183, 
1.97461,5,8.14625, 
2.42665,6,8.14625, 
3.06176,7,8.14625, 
3.79998,8,7.86593, 
4.41013,9,7.86593, 
5.10451,10,7.86593, 
time,iteration,cost, 
0.0127739,0,537900, 
0.468958,1,16.4804, 
0.864677,2,13.5823, 
1.2445,3,13.5823, 
1.70457,4,13.5823, 
2.22121,5,13.5823, 
2.60881,6,11.2451, 
3.30192,7,11.2451, 
3.94037,8,11.2451, 
4.59282,9,11.2451, 
5.27015,10,7.31396, 
time,iteration,cost, 
0.0159183,0,537900, 
0.248753,1,537900, 
0.643613,2,11.1774, 
1.19095,3,7.02032, 
2.03419,4,6.02626, 
3.23387,5,6.02626, 
4.16035,6,6.02626, 
5.11359,7,6.02626, 
time,iteration,cost, 
0.0108886,0,537900, 
0.633191,1,15.9652, 
0.831355,2,11.2229, 
1.20808,3,11.2229, 
1.5834,4,9.11541, 
2.11564,5,9.11541, 
2.49086,6,9.11541, 
2.97736,7,9.11541, 
3.67203,8,7.84606, 
4.50024,9,7.84606, 
5.29206,10,6.95427, 
time,iteration,cost, 
0.0158567,0,537900, 
0.53763,1,18.3788, 
0.927746,2,9.57286, 
1.41903,3,9.57286, 
1.8269,4,9.57286, 
2.42693,5,9.57286, 
2.8301,6,9.57286, 
3.46266,7,8.27388, 
4.168,8,7.18346, 
4.85828,9,7.18346, 
5.56211,10,7.18346, 
time,iteration,cost, 
0.0118643,0,537900, 
0.526689,1,537900, 
1.06075,2,12.8021, 
1.5929,3,11.7966, 
2.10983,4,7.28448, 
2.85733,5,6.75382, 
3.63965,6,6.75382, 
4.38328,7,6.75382, 
4.9629,8,6.75382, 
