time,iteration,cost, 
0.00905079,0,114790, 
0.225587,1,114790, 
0.322473,2,114790, 
0.467488,3,19.2868, 
0.651382,4,19.2868, 
0.869623,5,15.9055, 
1.03589,6,15.9055, 
1.36665,7,15.9055, 
1.57885,8,15.9055, 
1.90406,9,15.9055, 
2.17524,10,15.9055, 
2.54136,11,15.9055, 
2.9493,12,15.9055, 
3.35209,13,15.9055, 
3.7284,14,15.9055, 
4.31793,15,15.9055, 
4.76226,16,15.9055, 
time,iteration,cost, 
0.00897319,0,111837, 
0.180286,1,111837, 
0.345926,2,111837, 
0.491173,3,21.2757, 
0.666577,4,21.2757, 
0.904108,5,21.2757, 
1.17888,6,19.2796, 
1.39801,7,19.1419, 
1.70734,8,13.5982, 
1.97041,9,13.5982, 
2.24664,10,13.5982, 
2.60611,11,13.5982, 
3.01459,12,13.5982, 
3.38831,13,13.5982, 
3.6755,14,13.5982, 
4.05772,15,13.5982, 
4.54367,16,13.5982, 
4.96209,17,13.5982, 
time,iteration,cost, 
0.00750353,0,110369, 
0.134716,1,110369, 
0.240895,2,110369, 
0.402645,3,14.9461, 
0.663753,4,14.9461, 
0.897624,5,14.9461, 
1.12365,6,14.9461, 
1.44384,7,14.9461, 
1.76228,8,14.9461, 
2.08076,9,14.9461, 
2.40781,10,14.9461, 
2.80905,11,14.9461, 
3.19199,12,14.9461, 
3.59626,13,13.4615, 
4.15845,14,13.4615, 
4.59381,15,13.4615, 
time,iteration,cost, 
0.00863795,0,110369, 
0.182073,1,110369, 
0.388545,2,18.9194, 
0.533059,3,18.9194, 
0.793943,4,18.9194, 
0.941113,5,16.5121, 
1.17895,6,13.4203, 
1.45894,7,13.4203, 
1.75672,8,13.4203, 
2.00817,9,13.4203, 
2.3262,10,13.4203, 
2.73581,11,13.4203, 
3.08998,12,13.4203, 
3.47895,13,13.4203, 
3.92287,14,12.7169, 
4.28539,15,12.7169, 
4.92258,16,12.7169, 
time,iteration,cost, 
0.00907052,0,110369, 
0.177739,1,110369, 
0.318551,2,110369, 
0.486522,3,23.7884, 
0.626185,4,23.2767, 
0.993902,5,20.4809, 
1.2191,6,20.4809, 
1.47048,7,20.152, 
1.69569,8,20.152, 
1.95786,9,20.152, 
2.25111,10,16.3472, 
2.55298,11,16.3472, 
2.99058,12,16.3472, 
3.34123,13,16.3472, 
3.79647,14,16.3472, 
4.43836,15,11.8307, 
4.84351,16,11.8307, 
time,iteration,cost, 
0.00950465,0,116085, 
0.193307,1,116085, 
0.330488,2,116085, 
0.534262,3,22.5631, 
0.808171,4,19.8747, 
1.03524,5,19.8747, 
1.29546,6,17.191, 
1.62579,7,17.191, 
1.96169,8,17.191, 
2.34066,9,17.191, 
2.7985,10,13.1508, 
3.16765,11,12.9466, 
3.54642,12,12.9466, 
4.00069,13,12.9466, 
4.56425,14,12.9466, 
time,iteration,cost, 
0.00911573,0,115597, 
0.162218,1,115597, 
0.257548,2,115597, 
0.402404,3,26.2273, 
0.607882,4,18.9687, 
0.908736,5,12.6755, 
1.20405,6,12.6755, 
1.49191,7,12.6755, 
1.87168,8,12.6755, 
2.22745,9,12.6755, 
2.67389,10,12.6755, 
3.03456,11,12.6755, 
3.41793,12,12.6755, 
3.87704,13,12.6755, 
4.35165,14,12.6755, 
4.98837,15,12.6755, 
time,iteration,cost, 
0.010158,0,115736, 
0.149801,1,115736, 
0.260944,2,115736, 
0.369171,3,115736, 
0.518365,4,23.9384, 
0.679999,5,21.4489, 
0.873613,6,16.5596, 
1.06001,7,16.5596, 
1.35962,8,16.5596, 
1.69245,9,16.5596, 
2.0021,10,16.5596, 
2.32452,11,16.5596, 
2.58084,12,15.4614, 
2.87056,13,15.4614, 
3.20044,14,15.4614, 
3.6349,15,12.5215, 
4.13346,16,12.5215, 
4.51629,17,12.5215, 
time,iteration,cost, 
0.00871215,0,110369, 
0.176282,1,110369, 
0.312855,2,110369, 
0.443256,3,16.0026, 
0.633276,4,16.0026, 
0.862134,5,16.0026, 
1.09152,6,16.0026, 
1.40543,7,16.0026, 
1.6932,8,16.0026, 
2.16348,9,16.0026, 
2.60914,10,16.0026, 
3.03319,11,16.0026, 
3.54972,12,13.1038, 
4.00965,13,13.1038, 
4.34213,14,13.1038, 
4.80301,15,12.3583, 
time,iteration,cost, 
0.00890347,0,110369, 
0.144737,1,110369, 
0.30406,2,20.2721, 
0.496138,3,20.2721, 
0.737615,4,19.7517, 
1.02886,5,13.4914, 
1.20654,6,13.4914, 
1.44118,7,13.4914, 
1.7325,8,13.4914, 
2.02981,9,13.3555, 
2.36932,10,13.3555, 
2.79381,11,12.8071, 
3.1304,12,12.8071, 
3.51422,13,12.8071, 
3.95797,14,12.8071, 
4.37597,15,12.8071, 
4.71502,16,12.8071, 
