time,iteration,cost, 
0.0157524,0,537900, 
0.90662,1,13.1982, 
1.31708,2,6.50602, 
2.04842,3,6.05174, 
2.95847,4,6.05174, 
3.85565,5,6.05174, 
time,iteration,cost, 
0.0119635,0,537900, 
0.84019,1,14.5325, 
1.35427,2,7.39664, 
2.17941,3,7.39664, 
3.02302,4,7.39664, 
3.8722,5,7.39664, 
4.59197,6,7.39664, 
time,iteration,cost, 
0.0128292,0,537900, 
0.45616,1,537900, 
0.832673,2,12.3057, 
1.17933,3,11.3867, 
1.62337,4,11.3867, 
1.89507,5,11.3267, 
2.31032,6,11.3267, 
2.92143,7,11.3267, 
3.5149,8,9.86193, 
4.32892,9,8.05156, 
time,iteration,cost, 
0.015654,0,537900, 
0.697172,1,18.3788, 
1.26987,2,9.57286, 
1.9782,3,9.57286, 
2.58685,4,9.57286, 
3.35828,5,9.57286, 
3.93006,6,9.57286, 
4.78227,7,8.27388, 
time,iteration,cost, 
0.0114298,0,537900, 
0.666451,1,18.7635, 
0.869348,2,18.7635, 
1.0461,3,18.7635, 
1.32602,4,18.7635, 
2.02947,5,12.8021, 
2.74342,6,11.7966, 
3.41837,7,7.61966, 
4.39901,8,7.61966, 
time,iteration,cost, 
0.0141462,0,537900, 
0.64508,1,16.4046, 
0.931296,2,13.0189, 
1.58116,3,12.9875, 
2.05157,4,12.9875, 
2.39458,5,10.8574, 
2.81178,6,8.68704, 
3.33336,7,8.68704, 
4.15462,8,8.68704, 
time,iteration,cost, 
0.0144362,0,537900, 
0.541655,1,16.7707, 
0.994515,2,9.33418, 
1.69027,3,9.33418, 
2.47129,4,9.33418, 
3.23218,5,9.33418, 
4.00414,6,9.33418, 
4.76025,7,9.33418, 
time,iteration,cost, 
0.0118343,0,537900, 
0.569964,1,16.5743, 
1.03879,2,15.9476, 
1.25297,3,6.32069, 
2.28251,4,6.32069, 
3.24511,5,6.32069, 
4.36177,6,6.32069, 
time,iteration,cost, 
0.0135207,0,537900, 
0.751675,1,16.1416, 
0.996151,2,12.3094, 
1.35649,3,12.3094, 
2.00819,4,12.3094, 
2.56898,5,12.3094, 
3.16278,6,11.9919, 
3.71707,7,11.2697, 
4.41207,8,11.2697, 
time,iteration,cost, 
0.0146143,0,537900, 
0.411209,1,16.4041, 
0.716614,2,16.4041, 
1.08425,3,16.4041, 
1.64129,4,13.2674, 
2.06804,5,12.6825, 
2.45511,6,12.6013, 
2.87499,7,12.6013, 
3.45633,8,12.6013, 
4.1534,9,12.6013, 
