time,iteration,cost, 
0.0101966,0,110369, 
0.198634,1,110369, 
0.364202,2,16.0947, 
0.515554,3,16.0947, 
0.723467,4,16.0947, 
0.991154,5,16.0947, 
1.37526,6,16.0947, 
1.76085,7,16.0947, 
2.08281,8,16.0947, 
2.47124,9,16.0947, 
2.91687,10,15.5512, 
3.28598,11,15.5512, 
3.76475,12,12.3599, 
4.30168,13,12.3599, 
4.78118,14,12.3599, 
time,iteration,cost, 
0.0127106,0,110369, 
0.137553,1,110369, 
0.254555,2,110369, 
0.398513,3,110369, 
0.520189,4,17.0877, 
0.715347,5,17.0877, 
0.902452,6,17.0877, 
1.15378,7,17.0877, 
1.46883,8,17.0877, 
1.88433,9,13.3123, 
2.2825,10,13.3123, 
2.62701,11,13.3123, 
3.06281,12,13.3123, 
3.48776,13,13.3123, 
3.83895,14,13.3123, 
4.44285,15,13.3123, 
4.95648,16,13.3123, 
time,iteration,cost, 
0.0133929,0,110369, 
0.242151,1,110369, 
0.375895,2,110369, 
0.533865,3,23.6333, 
0.699293,4,23.6333, 
0.958306,5,23.6333, 
1.34126,6,23.6333, 
1.69981,7,23.6333, 
2.06009,8,15.0108, 
2.48452,9,13.4249, 
2.97832,10,13.4249, 
3.49102,11,13.4249, 
4.05536,12,13.4249, 
4.47566,13,13.4249, 
time,iteration,cost, 
0.00835638,0,110369, 
0.173053,1,110369, 
0.286577,2,22.9526, 
0.447958,3,20.2675, 
0.671165,4,19.943, 
0.831394,5,19.943, 
1.04295,6,19.943, 
1.42829,7,19.943, 
1.82688,8,19.8876, 
2.16458,9,16.6599, 
2.57068,10,16.6599, 
2.98286,11,12.6991, 
3.44117,12,12.6991, 
3.96211,13,12.5739, 
4.45671,14,12.5739, 
time,iteration,cost, 
0.0114212,0,110369, 
0.196818,1,110369, 
0.39517,2,110369, 
0.565568,3,22.3594, 
0.849485,4,22.3594, 
1.1437,5,16.8321, 
1.39673,6,16.7988, 
1.70036,7,14.8802, 
2.08318,8,14.8802, 
2.37168,9,14.8802, 
2.6633,10,14.8802, 
3.09619,11,14.8802, 
3.44447,12,14.8802, 
3.8634,13,14.8802, 
4.4263,14,14.8802, 
4.78038,15,13.125, 
time,iteration,cost, 
0.0110197,0,110369, 
0.206225,1,110369, 
0.343146,2,16.7076, 
0.484483,3,16.0466, 
0.716116,4,12.8374, 
0.957205,5,12.8374, 
1.22095,6,12.8374, 
1.50453,7,12.8374, 
1.80844,8,12.8374, 
2.11178,9,12.8374, 
2.53547,10,12.8361, 
2.98283,11,12.8361, 
3.35176,12,12.8361, 
3.78678,13,12.8361, 
4.36029,14,12.7585, 
4.75686,15,12.7585, 
time,iteration,cost, 
0.0104293,0,110369, 
0.173516,1,110369, 
0.310449,2,110369, 
0.468637,3,110369, 
0.651204,4,20.371, 
0.841928,5,19.9557, 
1.18844,6,16.5718, 
1.45458,7,16.5718, 
1.79182,8,16.5718, 
2.18657,9,16.5718, 
2.68352,10,15.4247, 
3.13521,11,15.1941, 
3.75263,12,15.1941, 
4.25049,13,15.1941, 
4.70258,14,12.5532, 
time,iteration,cost, 
0.0095329,0,110369, 
0.193218,1,110369, 
0.376203,2,21.2902, 
0.497201,3,21.2902, 
0.647038,4,20.5537, 
0.767403,5,20.5537, 
0.965362,6,20.5537, 
1.16295,7,20.5537, 
1.51471,8,20.5537, 
1.83587,9,15.5243, 
2.20634,10,15.5243, 
2.52948,11,15.5243, 
2.86293,12,15.5243, 
3.3527,13,13.43, 
3.82774,14,13.43, 
4.26566,15,13.43, 
4.66325,16,12.7862, 
time,iteration,cost, 
0.0123914,0,110369, 
0.173194,1,110369, 
0.334504,2,110369, 
0.502732,3,24.0951, 
0.701024,4,22.2272, 
0.918271,5,22.2272, 
1.16662,6,22.2272, 
1.42563,7,16.1232, 
1.78456,8,16.1232, 
2.19049,9,16.1232, 
2.6559,10,16.1232, 
3.10228,11,16.1232, 
3.49805,12,16.1232, 
4.10238,13,12.8254, 
4.50536,14,12.8254, 
time,iteration,cost, 
0.0101342,0,110369, 
0.218093,1,110369, 
0.340835,2,110369, 
0.565408,3,110369, 
0.847411,4,16.8316, 
1.0061,5,16.8316, 
1.24035,6,16.8316, 
1.50425,7,13.465, 
1.84304,8,13.3787, 
2.25385,9,13.3787, 
2.52967,10,13.3787, 
2.93603,11,13.3787, 
3.34188,12,13.3787, 
3.88472,13,13.2014, 
