time,iteration,cost, 
0.0255975,0,537900, 
0.555991,1,14.6102, 
0.79753,2,14.6102, 
0.977088,3,14.6102, 
1.21214,4,14.6102, 
1.42656,5,14.6102, 
1.63065,6,14.6102, 
1.83435,7,14.6102, 
2.05194,8,11.9275, 
2.31192,9,11.9275, 
2.58981,10,11.9275, 
2.86211,11,11.9275, 
3.11566,12,11.9275, 
3.43639,13,11.9275, 
3.71675,14,11.9275, 
4.17825,15,11.9275, 
4.5125,16,11.9275, 
4.89546,17,11.9275, 
time,iteration,cost, 
0.0121228,0,537900, 
0.418849,1,537900, 
0.699325,2,13.2925, 
1.04211,3,11.7493, 
1.21445,4,11.7493, 
1.43437,5,11.7493, 
1.62951,6,11.7493, 
1.82382,7,11.7493, 
2.03543,8,11.7493, 
2.33202,9,11.7493, 
2.64917,10,11.5315, 
2.88204,11,11.5315, 
3.12499,12,11.5315, 
3.3389,13,11.5315, 
3.56402,14,11.5315, 
3.8666,15,11.5315, 
4.17056,16,11.5315, 
4.52281,17,11.5315, 
4.90121,18,11.5315, 
time,iteration,cost, 
0.0154028,0,537900, 
0.440523,1,16.1685, 
0.594363,2,16.1685, 
0.839442,3,13.0871, 
1.25749,4,13.0871, 
1.44894,5,13.0871, 
1.74806,6,13.0871, 
1.89644,7,13.0871, 
2.05965,8,13.0871, 
2.3184,9,13.0871, 
2.60496,10,11.9591, 
2.85909,11,11.7343, 
3.07453,12,11.7343, 
3.34795,13,11.7343, 
3.70499,14,11.7343, 
4.05471,15,11.7343, 
4.36993,16,11.7343, 
4.70282,17,11.7343, 
time,iteration,cost, 
0.0106409,0,537900, 
0.511393,1,19.4816, 
0.761119,2,19.4816, 
1.04491,3,16.6361, 
1.29253,4,16.6361, 
1.62814,5,16.6361, 
1.79149,6,16.6361, 
2.09779,7,8.32854, 
2.47942,8,8.32854, 
2.95524,9,8.32854, 
3.4179,10,7.13935, 
4.15744,11,7.13935, 
time,iteration,cost, 
0.0184749,0,537900, 
0.524204,1,537900, 
0.819073,2,537900, 
1.01443,3,537900, 
1.19795,4,537900, 
1.40591,5,537900, 
1.62276,6,12.4272, 
1.94553,7,12.4272, 
2.26186,8,11.6842, 
2.61164,9,8.99479, 
3.06127,10,8.99479, 
3.4016,11,8.99479, 
3.81422,12,8.99479, 
4.43554,13,8.99479, 
4.86301,14,8.99479, 
time,iteration,cost, 
0.0151394,0,537900, 
0.517918,1,20.4842, 
1.10066,2,19.074, 
1.39291,3,16.8594, 
1.68136,4,16.8594, 
2.09601,5,9.99975, 
2.30888,6,9.99975, 
2.55451,7,9.99975, 
2.92493,8,9.99975, 
3.1512,9,9.99975, 
3.53041,10,9.99975, 
3.84462,11,9.99975, 
4.10714,12,9.99975, 
4.49679,13,9.70551, 
4.74329,14,9.70551, 
time,iteration,cost, 
0.0196294,0,537900, 
0.619246,1,16.286, 
0.818006,2,16.286, 
1.19382,3,12.9453, 
1.39167,4,12.9453, 
1.59733,5,12.9453, 
1.77836,6,12.9453, 
2.00491,7,12.9453, 
2.21334,8,9.57089, 
2.72587,9,9.57089, 
3.07472,10,9.57089, 
3.45289,11,9.57089, 
3.71094,12,9.57089, 
4.1006,13,9.57089, 
4.51542,14,9.57089, 
4.83673,15,9.57089, 
time,iteration,cost, 
0.0127917,0,537900, 
0.492277,1,14.6751, 
0.664975,2,14.6751, 
0.818138,3,14.6751, 
1.00505,4,12.1771, 
1.19253,5,12.1771, 
1.36988,6,9.84968, 
1.62862,7,9.84968, 
1.87775,8,9.59088, 
2.17238,9,9.59088, 
2.37132,10,9.59088, 
2.77591,11,9.59088, 
3.09523,12,9.59088, 
3.41799,13,9.59088, 
3.7131,14,9.59088, 
4.07606,15,9.59088, 
4.51049,16,9.59088, 
4.75195,17,9.30054, 
time,iteration,cost, 
0.0145786,0,537900, 
0.533039,1,13.0655, 
0.895817,2,13.0655, 
1.04391,3,13.0655, 
1.20488,4,13.0655, 
1.60471,5,13.0655, 
1.73519,6,13.0655, 
1.92559,7,13.0655, 
2.29297,8,13.0655, 
2.51736,9,13.0655, 
2.71789,10,12.6199, 
3.00105,11,12.6199, 
3.20289,12,12.6199, 
3.40438,13,12.6199, 
3.69021,14,12.6199, 
4.02608,15,12.6199, 
4.33643,16,12.6199, 
4.57315,17,12.6199, 
time,iteration,cost, 
0.0152118,0,537900, 
0.622141,1,537900, 
0.80384,2,13.8166, 
1.05138,3,13.8166, 
1.22884,4,12.6117, 
1.38043,5,12.6117, 
1.63186,6,12.6117, 
1.82703,7,12.6117, 
2.01571,8,12.6117, 
2.29555,9,9.02767, 
2.48194,10,9.02767, 
2.72355,11,9.02767, 
2.98055,12,9.02767, 
3.30187,13,9.02767, 
3.63659,14,9.02767, 
4.03995,15,9.02767, 
4.29525,16,9.02767, 
4.69322,17,9.02767, 
