time,iteration,cost, 
0.790135,0,110369, 
0.949118,1,110369, 
1.09213,2,110369, 
1.21179,3,110369, 
1.28436,4,110369, 
1.41497,5,110369, 
1.51017,6,110369, 
1.62189,7,20.0489, 
1.71047,8,20.0489, 
1.84876,9,20.0489, 
1.98277,10,20.0489, 
2.13252,11,20.0489, 
2.39642,12,18.8949, 
2.59468,13,18.8949, 
2.80015,14,18.8949, 
3.08668,15,15.6398, 
3.32145,16,15.6398, 
3.54802,17,15.6398, 
3.93438,18,15.6398, 
4.39041,19,15.1685, 
4.67588,20,15.1685, 
time,iteration,cost, 
0.00896003,0,110369, 
0.198214,1,110369, 
0.362276,2,110369, 
0.473476,3,110369, 
0.62091,4,20.5692, 
0.706225,5,20.5692, 
0.803169,6,16.4854, 
0.899637,7,16.4854, 
1.02369,8,16.4854, 
1.18001,9,16.4854, 
1.33324,10,16.4854, 
1.5303,11,16.4854, 
1.7252,12,16.4854, 
1.89968,13,16.4854, 
2.13005,14,16.4854, 
2.37296,15,16.4854, 
2.72017,16,16.4854, 
3.10455,17,16.4854, 
3.42068,18,16.4854, 
3.94645,19,16.4854, 
4.30166,20,12.5371, 
4.62703,21,12.5371, 
4.92912,22,12.5371, 
time,iteration,cost, 
0.00889974,0,110369, 
0.155298,1,110369, 
0.282823,2,27.1396, 
0.466658,3,27.1396, 
0.609315,4,27.1396, 
0.76821,5,27.1396, 
0.92857,6,16.5459, 
1.16654,7,16.5459, 
1.36047,8,16.5459, 
1.54381,9,16.5459, 
1.86825,10,16.5459, 
2.03699,11,16.5459, 
2.25447,12,16.5459, 
2.49383,13,16.5459, 
2.71541,14,16.5459, 
2.98719,15,16.5459, 
3.24052,16,16.5459, 
3.45455,17,16.5459, 
3.7505,18,16.5459, 
4.12744,19,16.5459, 
4.44075,20,16.5459, 
4.64882,21,16.5459, 
time,iteration,cost, 
0.0114157,0,905386, 
0.150133,1,905386, 
0.27592,2,905386, 
0.43928,3,905386, 
0.57563,4,18.9481, 
0.747778,5,18.9481, 
0.909196,6,18.9481, 
1.03119,7,18.9481, 
1.17158,8,18.9481, 
1.32021,9,18.9481, 
1.46325,10,18.9481, 
1.69139,11,16.5887, 
1.88409,12,16.5887, 
2.06857,13,16.5887, 
2.309,14,16.5887, 
2.52958,15,16.5887, 
2.80062,16,16.5887, 
3.07873,17,16.5887, 
4.04851,18,12.9783, 
4.48159,19,12.8562, 
4.77822,20,12.6218, 
time,iteration,cost, 
0.0111992,0,110369, 
0.196602,1,110369, 
0.309554,2,110369, 
0.418697,3,110369, 
0.510987,4,110369, 
0.637092,5,110369, 
0.741005,6,110369, 
0.829018,7,110369, 
0.921351,8,20.6464, 
1.01594,9,20.6464, 
1.11028,10,20.6464, 
1.31853,11,19.3175, 
1.56727,12,16.567, 
1.76697,13,16.567, 
1.97057,14,16.567, 
2.25753,15,13.1492, 
2.533,16,13.1492, 
2.72125,17,13.1492, 
3.14447,18,12.517, 
3.41236,19,12.517, 
3.65697,20,12.517, 
3.88808,21,12.517, 
4.14185,22,12.517, 
4.39996,23,12.517, 
4.75944,24,12.517, 
time,iteration,cost, 
0.00912837,0,115630, 
0.210357,1,115630, 
0.334572,2,115630, 
0.451917,3,115630, 
0.61422,4,115630, 
0.742148,5,115630, 
0.85859,6,115630, 
0.989483,7,23.1437, 
1.17991,8,23.1437, 
1.40795,9,16.6327, 
1.58892,10,16.6327, 
1.80506,11,16.6327, 
1.95384,12,16.6327, 
2.18083,13,16.6327, 
2.39702,14,16.6327, 
2.62822,15,16.6327, 
2.9931,16,16.6327, 
3.25337,17,16.6327, 
3.47766,18,16.6327, 
3.73138,19,16.6327, 
4.18041,20,16.1397, 
4.45879,21,16.1397, 
4.73742,22,16.1397, 
time,iteration,cost, 
0.00884317,0,110369, 
0.200202,1,110369, 
0.354278,2,110369, 
0.483736,3,21.24, 
0.60746,4,21.24, 
0.756298,5,21.24, 
0.925529,6,21.24, 
1.09125,7,20.5049, 
1.32802,8,17.0516, 
1.62982,9,13.2139, 
1.88158,10,13.2139, 
2.09052,11,13.2139, 
2.22455,12,13.2139, 
2.48979,13,13.2139, 
2.68886,14,13.2139, 
2.94709,15,13.2139, 
3.17884,16,13.2139, 
3.42161,17,12.7533, 
3.72434,18,12.6346, 
3.96441,19,12.6346, 
4.34114,20,12.6346, 
4.75081,21,12.6346, 
time,iteration,cost, 
0.0093015,0,115084, 
0.202961,1,115084, 
0.316317,2,115084, 
0.441501,3,26.1778, 
0.555856,4,26.1778, 
0.72433,5,19.7706, 
0.887724,6,19.7706, 
1.05178,7,19.7123, 
1.15663,8,19.7123, 
1.29759,9,19.7123, 
1.42493,10,19.7123, 
1.55717,11,19.7123, 
1.73852,12,19.7123, 
1.93682,13,19.7123, 
2.09905,14,19.7123, 
2.31435,15,19.7118, 
2.54073,16,19.7118, 
2.88107,17,19.7118, 
3.24735,18,19.1311, 
3.55242,19,19.1311, 
3.81504,20,19.1311, 
4.12181,21,19.1311, 
4.46273,22,19.1311, 
4.75883,23,19.1311, 
time,iteration,cost, 
0.00851385,0,110369, 
0.184793,1,110369, 
0.312438,2,110369, 
0.440822,3,110369, 
0.528283,4,110369, 
0.629476,5,110369, 
0.7437,6,110369, 
0.838435,7,110369, 
0.95461,8,110369, 
1.07451,9,110369, 
1.20096,10,110369, 
1.31841,11,110369, 
1.46869,12,110369, 
1.61191,13,110369, 
1.73907,14,21.77, 
1.943,15,21.77, 
2.10432,16,21.77, 
2.29692,17,21.77, 
2.54101,18,19.1478, 
2.79594,19,15.3907, 
3.03653,20,15.3907, 
3.31616,21,12.6066, 
3.55451,22,12.6066, 
3.82769,23,12.6066, 
4.14145,24,12.6066, 
4.39956,25,12.6066, 
4.79796,26,12.6066, 
time,iteration,cost, 
0.015013,0,115876, 
0.228751,1,115876, 
0.344323,2,115876, 
0.472717,3,115876, 
0.596922,4,115876, 
0.706688,5,115876, 
0.829072,6,115876, 
0.970571,7,115876, 
1.10964,8,115876, 
1.24293,9,115876, 
1.40682,10,16.321, 
1.58577,11,16.321, 
1.74895,12,16.321, 
1.932,13,16.321, 
2.10318,14,16.321, 
2.34262,15,16.321, 
2.65503,16,15.6518, 
2.85894,17,15.6518, 
3.22096,18,13.4047, 
3.4956,19,12.5908, 
3.69812,20,12.5908, 
4.0286,21,12.5908, 
4.26851,22,12.5908, 
4.58135,23,12.5908, 
4.89272,24,12.5908, 
