time,iteration,cost, 
0.114564,0,11.978, 
0.140074,1,11.978, 
0.173354,2,11.978, 
0.225554,3,11.978, 
0.285224,4,11.978, 
0.350385,5,11.978, 
0.413056,6,11.978, 
0.487038,7,11.978, 
0.570502,8,11.978, 
0.711358,9,11.978, 
0.872655,10,11.978, 
1.0157,11,11.978, 
1.19303,12,11.978, 
1.36238,13,11.978, 
1.54414,14,11.978, 
1.72621,15,11.978, 
1.89869,16,11.978, 
2.07623,17,11.978, 
2.3421,18,11.978, 
2.60753,19,11.978, 
2.84486,20,11.978, 
3.06908,21,11.4858, 
3.27533,22,10.6747, 
3.27544,23,10.6747, 
3.57138,24,10.6747, 
3.82905,25,10.6747, 
4.1238,26,10.6747, 
4.34945,27,10.6747, 
4.67722,28,10.6747, 
4.9369,29,10.6581, 
time,iteration,cost, 
0.166846,0,inf, 
0.173601,1,inf, 
0.190657,2,inf, 
0.199416,3,inf, 
time,iteration,cost, 
0.017158,0,12.0571, 
0.0451698,1,12.0571, 
0.0966337,2,12.0571, 
0.153482,3,12.0571, 
time,iteration,cost, 
0.198295,0,inf, 
time,iteration,cost, 
0.00656576,0,inf, 
0.0240391,1,inf, 
0.0396753,2,inf, 
0.0513119,3,inf, 
0.0647572,4,inf, 
0.0801949,5,inf, 
time,iteration,cost, 
0.022231,0,12.1314, 
0.0627655,1,12.1314, 
0.0895966,2,8.20448, 
0.11943,3,6.94225, 
0.144725,4,6.0294, 
0.171049,5,5.69876, 
time,iteration,cost, 
0.169506,0,inf, 
0.170024,1,inf, 
0.179669,2,inf, 
0.191142,3,inf, 
0.191581,4,inf, 
time,iteration,cost, 
0.00524324,0,inf, 
0.014125,1,inf, 
0.0230269,2,inf, 
0.0327639,3,inf, 
0.0536624,4,inf, 
0.0652814,5,inf, 
0.070304,6,inf, 
0.0768194,7,inf, 
0.0844507,8,inf, 
0.0901423,9,inf, 
0.0957547,10,inf, 
0.096047,11,inf, 
0.0960909,12,inf, 
0.106162,13,inf, 
0.111293,14,inf, 
0.118352,15,inf, 
0.118634,16,inf, 
0.118676,17,inf, 
0.125056,18,inf, 
0.131028,19,inf, 
0.135898,20,inf, 
0.146411,21,inf, 
0.152923,22,inf, 
0.163685,23,inf, 
0.163771,24,inf, 
0.170585,25,inf, 
0.176205,26,inf, 
0.188528,27,inf, 
0.188949,28,inf, 
0.194807,29,inf, 
time,iteration,cost, 
0.00581073,0,inf, 
0.0120397,1,inf, 
0.0185409,2,inf, 
0.0239034,3,inf, 
0.0288919,4,inf, 
0.0359958,5,inf, 
0.0421644,6,inf, 
0.0493937,7,inf, 
0.0608375,8,inf, 
0.07285,9,inf, 
0.0770616,10,inf, 
0.0878308,11,inf, 
0.096822,12,inf, 
0.107299,13,inf, 
0.116439,14,inf, 
0.122248,15,inf, 
0.12251,16,inf, 
0.127584,17,inf, 
0.137165,18,inf, 
0.147868,19,inf, 
0.154665,20,inf, 
0.167186,21,inf, 
time,iteration,cost, 
0.213028,0,18.4369, 
0.275893,1,18.4369, 
0.322882,2,18.4369, 
0.323001,3,18.4369, 
0.409398,4,18.4369, 
0.524069,5,18.4369, 
0.633486,6,18.4369, 
0.761913,7,18.4369, 
0.941727,8,18.4369, 
1.10907,9,18.4369, 
1.31128,10,16.737, 
1.4891,11,16.0213, 
1.72837,12,16.0213, 
1.89188,13,15.4072, 
2.05312,14,14.9243, 
2.32202,15,14.9243, 
2.60044,16,14.9243, 
2.94222,17,13.0997, 
3.299,18,13.0997, 
3.65074,19,13.0997, 
4.02476,20,13.0997, 
4.33548,21,13.0997, 
4.71168,22,12.8885, 
time,iteration,cost, 
0.195316,0,inf, 
time,iteration,cost, 
0.00568952,0,inf, 
0.0143644,1,inf, 
0.0227416,2,inf, 
0.0300174,3,inf, 
0.0505566,4,inf, 
0.0506398,5,inf, 
0.058008,6,inf, 
0.0659352,7,inf, 
0.0663028,8,inf, 
0.0742713,9,inf, 
0.0812975,10,inf, 
0.0906816,11,inf, 
0.100902,12,inf, 
0.106586,13,inf, 
0.107221,14,inf, 
0.116045,15,inf, 
0.116385,16,inf, 
0.124672,17,inf, 
0.133489,18,inf, 
0.14219,19,inf, 
0.149462,20,inf, 
0.149747,21,inf, 
0.158982,22,inf, 
0.167796,23,inf, 
0.175271,24,inf, 
0.193969,25,inf, 
time,iteration,cost, 
0.0072429,0,inf, 
0.0216887,1,inf, 
0.0439659,2,inf, 
0.0634083,3,inf, 
0.0708077,4,inf, 
0.0771913,5,inf, 
0.0846465,6,inf, 
0.0920156,7,inf, 
0.105955,8,inf, 
0.116241,9,inf, 
0.132027,10,inf, 
0.147758,11,inf, 
0.163075,12,inf, 
0.178906,13,inf, 
0.194635,14,inf, 
time,iteration,cost, 
0.00773148,0,inf, 
0.0274666,1,inf, 
0.0356274,2,inf, 
0.0426784,3,inf, 
0.0427193,4,inf, 
0.0526788,5,inf, 
0.0529809,6,inf, 
0.0532788,7,inf, 
0.0628701,8,inf, 
0.0703944,9,inf, 
0.0923547,10,inf, 
0.0994138,11,inf, 
0.108675,12,inf, 
0.115631,13,inf, 
0.123331,14,inf, 
0.123648,15,inf, 
0.138893,16,inf, 
0.152362,17,inf, 
0.161612,18,inf, 
0.161892,19,inf, 
0.16682,20,inf, 
0.167348,21,inf, 
0.175762,22,inf, 
