time,iteration,cost, 
0.163041,0,22.2134, 
0.186077,1,22.2134, 
0.22639,2,22.2134, 
0.305116,3,22.2134, 
0.405741,4,22.2134, 
0.476971,5,22.2134, 
0.562058,6,22.2134, 
0.697281,7,22.2134, 
0.824759,8,22.2134, 
0.998701,9,22.2134, 
1.15709,10,22.2134, 
1.34792,11,22.2134, 
1.53091,12,22.2134, 
1.69554,13,22.2134, 
1.97573,14,22.2134, 
2.23542,15,22.2134, 
2.52591,16,22.2134, 
2.74721,17,22.2134, 
3.08732,18,22.2134, 
3.36735,19,22.2134, 
3.65528,20,22.2134, 
4.00682,21,22.2134, 
4.41273,22,22.2134, 
4.77232,23,22.2134, 
time,iteration,cost, 
0.180164,0,inf, 
0.189166,1,inf, 
time,iteration,cost, 
0.00781277,0,inf, 
0.0184586,1,inf, 
0.0326254,2,inf, 
0.0476465,3,inf, 
0.0482284,4,inf, 
0.0707234,5,inf, 
0.0842616,6,inf, 
0.0986787,7,inf, 
0.112877,8,inf, 
0.133342,9,inf, 
0.148078,10,inf, 
0.167468,11,inf, 
0.167551,12,inf, 
0.181026,13,inf, 
0.198288,14,inf, 
time,iteration,cost, 
0.0105031,0,inf, 
0.0200778,1,inf, 
0.0285932,2,inf, 
0.0362567,3,inf, 
0.0605831,4,inf, 
0.0738477,5,inf, 
0.0819423,6,inf, 
0.0975222,7,inf, 
0.105441,8,inf, 
0.113267,9,inf, 
0.12238,10,inf, 
0.148631,11,inf, 
0.166671,12,inf, 
0.18248,13,inf, 
0.190631,14,inf, 
0.199844,15,inf, 
time,iteration,cost, 
0.00580595,0,inf, 
0.0132797,1,inf, 
0.0210144,2,inf, 
0.0434199,3,inf, 
0.0507453,4,inf, 
0.0598224,5,inf, 
0.0703801,6,inf, 
0.0760759,7,inf, 
0.0832616,8,inf, 
0.0926727,9,inf, 
0.0927803,10,inf, 
0.10064,11,inf, 
0.115126,12,inf, 
0.130301,13,inf, 
0.1408,14,inf, 
0.153926,15,inf, 
0.166553,16,inf, 
time,iteration,cost, 
0.143982,0,inf, 
0.151228,1,inf, 
0.164979,2,inf, 
0.182123,3,inf, 
0.19546,4,inf, 
time,iteration,cost, 
0.00584113,0,inf, 
0.0113974,1,inf, 
0.0206572,2,inf, 
0.0268309,3,inf, 
0.0380371,4,inf, 
0.0445399,5,inf, 
0.0539817,6,inf, 
0.061214,7,inf, 
0.0688799,8,inf, 
0.0750409,9,inf, 
0.0906451,10,inf, 
0.104515,11,inf, 
0.111367,12,inf, 
0.122768,13,inf, 
0.122805,14,inf, 
0.129598,15,inf, 
0.143754,16,inf, 
0.143865,17,inf, 
0.149496,18,inf, 
0.149521,19,inf, 
0.161969,20,inf, 
0.168946,21,inf, 
0.179241,22,inf, 
0.192761,23,inf, 
time,iteration,cost, 
0.00763736,0,inf, 
0.025094,1,inf, 
0.0332142,2,inf, 
0.040623,3,inf, 
0.0531731,4,inf, 
0.0661679,5,inf, 
0.0848162,6,inf, 
0.0920975,7,inf, 
0.0924815,8,inf, 
0.107469,9,inf, 
0.115668,10,inf, 
0.121421,11,inf, 
0.129939,12,inf, 
0.14127,13,inf, 
0.149142,14,inf, 
0.156019,15,inf, 
0.162339,16,inf, 
time,iteration,cost, 
0.311684,0,17.3859, 
0.353049,1,17.3859, 
0.425911,2,17.3859, 
0.510253,3,17.3859, 
0.599949,4,17.3859, 
0.714454,5,17.3859, 
0.884632,6,17.3859, 
1.02734,7,17.3859, 
1.24882,8,17.3859, 
1.46066,9,17.3859, 
1.68687,10,17.3859, 
1.93571,11,17.3859, 
2.24721,12,17.3859, 
2.58584,13,17.3859, 
2.9708,14,17.3859, 
3.41,15,17.3859, 
3.82711,16,17.3859, 
4.16432,17,17.3859, 
4.6153,18,17.3859, 
time,iteration,cost, 
0.00687659,0,inf, 
