t,spd scale,shoulder_pan_joint pos,shoulder_lift_joint pos,elbow_joint pos,wrist_1_joint pos,wrist_2_joint pos,wrist_3_joint pos,shoulder_pan_joint vel,shoulder_lift_joint vel,elbow_joint vel,wrist_1_joint vel,wrist_2_joint vel,wrist_3_joint vel,shoulder_pan_joint acc,shoulder_lift_joint acc,elbow_joint acc,wrist_1_joint acc,wrist_2_joint acc,wrist_3_joint acc,shoulder_pan_joint effort,shoulder_lift_joint effort,elbow_joint effort,wrist_1_joint effort,wrist_2_joint effort,wrist_3_joint effort,act human j0 x, y, z,act human j1 x, y, z,act human j2 x, y, z,act human j3 x, y, z,act human j4 x, y, z,act human j5 x, y, z,act human j6 x, y, z,act human j7 x, y, z,act human j8 x, y, z,act human j9 x, y, z,act human j10 x, y, z,act human j11 x, y, z,act human j12 x, y, z,act human j13 x, y, z,act human j14 x, y, z,act human j15 x, y, z,act human j16 x, y, z,act human j17 x, y, z,act human j18 x, y, z,act human j19 x, y, z,act human j20 x, y, z,act human j21 x, y, z,act human j22 x, y, z,act human j23 x, y, z,act human j24 x, y, z,act human j25 x, y, z,act human j26 x, y, z,act human j27 x, y, z,act human j28 x, y, z,act human j29 x, y, z,act human j30 x, y, z,act human j31 x, y, z,act human j32 x, y, z,act human j33 x, y, z,act human j34 x, y, z,act human j35 x, y, z,act human j36 x, y, z,act human j37 x, y, z,act human j38 x, y, z,act human j39 x, y, z,act human j40 x, y, z,act human j41 x, y, z,act human j42 x, y, z,act human j43 x, y, z,act human j44 x, y, z,act human j45 x, y, z,act human j46 x, y, z,act human j47 x, y, z,act human j48 x, y, z,act human j49 x, y, z,act human j50 x, y, z,act human j51 x, y, z,act human j52 x, y, z,act human j53 x, y, z,act human j54 x, y, z,act human j55 x, y, z,act human j56 x, y, z,act human j57 x, y, z,skel pt 0 x, y, z,skel pt 1 x, y, z,skel pt 2 x, y, z,skel pt 3 x, y, z,skel pt 4 x, y, z,skel pt 5 x, y, z,skel pt 6 x, y, z,skel pt 7 x, y, z,skel pt 8 x, y, z,skel pt 9 x, y, z,skel pt 10 x, y, z,skel pt 11 x, y, z,skel pt 12 x, y, z,skel pt 13 x, y, z,skel pt 14 x, y, z,pred pelvis x, y, z,pred spine top x, y, z,pred head top x, y, z,pred l shoulder x, y, z,pred l elbow x, y, z,pred l wrist x, y, z,pred r shoulder x, y, z,pred r elbow x, y, z,pred r wrist x, y, z,plan time,min sep dist, tip speed
0.0167603,100,2.82527,-1.57014,1.65732,-1.65674,1.56897,-1.25501,-0.161146,-0.031298,0.020952,0.107312,-0.227422,0.219264,56.8762,11.0617,-7.40847,-37.9007,80.3236,-77.403,0,0,0,0,0,0,0.830625,0.212542,0.983055,0.916013,0.202379,1.54552,0.77768,0.31246,1.72229,0.945043,0.374067,1.563,0.93727,0.53168,1.32568,0.652902,0.12042,1.32573,0.886984,0.0306914,1.52804,0.870439,-0.0493819,1.25502,0.621421,0.383675,1.27628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830625,0.212542,0.983055,0.916013,0.202379,1.54552,0.77768,0.31246,1.72229,0.945043,0.374067,1.563,0.93727,0.53168,1.32568,0.652902,0.12042,1.32573,0.886984,0.0306914,1.52804,0.870439,-0.0493819,1.25502,0.621421,0.383675,1.27628, , , , , , , , , , , , , , , , , , ,0.993853,0.141934,0.952845,1.08135,0.106826,1.51398,0.957111,0.164115,1.72322,1.12631,0.264538,1.51262,1.14119,0.390623,1.25746,0.97765,0.286567,0.90757,1.0364,-0.0508864,1.51534,1.01861,-0.0984435,1.2349,0.947804,0.107614,0.899449,19.9349,0.872504,0.111613
0.0340791,100,2.81958,-1.57124,1.65805,-1.65296,1.56097,-1.24727,-0.506854,-0.0973163,0.0648981,0.335648,-0.711191,0.688599,234.294,45.0515,-30.0588,-155.266,328.994,-318.369,0,0,0,0,0,0,0.830625,0.212542,0.983055,0.916013,0.202379,1.54552,0.77768,0.31246,1.72229,0.945043,0.374067,1.563,0.93727,0.53168,1.32568,0.652902,0.12042,1.32573,0.886984,0.0306914,1.52804,0.870439,-0.0493819,1.25502,0.621421,0.383675,1.27628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826501,0.206297,0.978148,0.904024,0.202864,1.54183,0.766227,0.309171,1.72131,0.92587,0.375531,1.5601,0.91936,0.533347,1.32287,0.629114,0.126215,1.32204,0.882177,0.0301965,1.52356,0.862369,-0.0498956,1.25077,0.614309,0.383769,1.2708, , , , , , , , , , , , , , , , , , ,0.993853,0.141934,0.952845,1.08135,0.106826,1.51398,0.957111,0.164115,1.72322,1.12631,0.264538,1.51262,1.14119,0.390623,1.25746,0.97765,0.286567,0.90757,1.0364,-0.0508864,1.51534,1.01861,-0.0984435,1.2349,0.947804,0.107614,0.899449,19.9349,0.851762,0.35077
0.0500994,100,2.80852,-1.57335,1.65945,-1.64566,1.54551,-1.23226,-0.846673,-0.16056,0.106626,0.557338,-1.18068,1.1484,396.408,75.294,-50.0292,-261.144,553.229,-537.786,0,0,0,0,0,0,0.830625,0.212542,0.983055,0.916013,0.202379,1.54552,0.77768,0.31246,1.72229,0.945043,0.374067,1.563,0.93727,0.53168,1.32568,0.652902,0.12042,1.32573,0.886984,0.0306914,1.52804,0.870439,-0.0493819,1.25502,0.621421,0.383675,1.27628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826501,0.206297,0.978148,0.904024,0.202864,1.54183,0.766227,0.309171,1.72131,0.92587,0.375531,1.5601,0.91936,0.533347,1.32287,0.629114,0.126215,1.32204,0.882177,0.0301965,1.52356,0.862369,-0.0498956,1.25077,0.614309,0.383769,1.2708, , , , , , , , , , , , , , , , , , ,0.969091,0.14554,0.961531,1.07322,0.0952378,1.51866,0.947514,0.152765,1.72695,1.11785,0.252996,1.52275,1.13805,0.392443,1.27502,0.943972,0.258194,0.952044,1.0286,-0.06252,1.51456,1.021,-0.116689,1.23486,0.893955,0.131692,0.948211,19.9349,0.851762,0.584946
0.066994,96,2.79019,-1.57679,1.66173,-1.63364,1.52005,-1.20742,-1.12288,-0.209754,0.138574,0.733837,-1.55419,1.52006,577.263,108.017,-71.4036,-377.566,799.667,-781.619,0,0,0,0,0,0,0.830625,0.212542,0.983055,0.916013,0.202379,1.54552,0.77768,0.31246,1.72229,0.945043,0.374067,1.563,0.93727,0.53168,1.32568,0.652902,0.12042,1.32573,0.886984,0.0306914,1.52804,0.870439,-0.0493819,1.25502,0.621421,0.383675,1.27628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826501,0.206297,0.978148,0.904024,0.202864,1.54183,0.766227,0.309171,1.72131,0.92587,0.375531,1.5601,0.91936,0.533347,1.32287,0.629114,0.126215,1.32204,0.882177,0.0301965,1.52356,0.862369,-0.0498956,1.25077,0.614309,0.383769,1.2708, , , , , , , , , , , , , , , , , , ,0.969091,0.14554,0.961531,1.07322,0.0952378,1.51866,0.947514,0.152765,1.72695,1.11785,0.252996,1.52275,1.13805,0.392443,1.27502,0.943972,0.258194,0.952044,1.0286,-0.06252,1.51456,1.021,-0.116689,1.23486,0.893955,0.131692,0.948211,19.9349,0.847067,0.773547
0.0834268,92,2.76983,-1.58057,1.66422,-1.62039,1.49198,-1.17989,-1.36335,-0.251133,0.165096,0.885076,-1.87406,1.84227,721.803,133.199,-87.6219,-468.99,993.068,-975.583,0,0,0,0,0,0,0.826501,0.206297,0.978148,0.904024,0.202864,1.54183,0.766227,0.309171,1.72131,0.92587,0.375531,1.5601,0.91936,0.533347,1.32287,0.629114,0.126215,1.32204,0.882177,0.0301965,1.52356,0.862369,-0.0498956,1.25077,0.614309,0.383769,1.2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826501,0.206297,0.978148,0.904024,0.202864,1.54183,0.766227,0.309171,1.72131,0.92587,0.375531,1.5601,0.91936,0.533347,1.32287,0.629114,0.126215,1.32204,0.882177,0.0301965,1.52356,0.862369,-0.0498956,1.25077,0.614309,0.383769,1.2708, , , , , , , , , , , , , , , , , , ,0.969091,0.14554,0.961531,1.07322,0.0952378,1.51866,0.947514,0.152765,1.72695,1.11785,0.252996,1.52275,1.13805,0.392443,1.27502,0.943972,0.258194,0.952044,1.0286,-0.06252,1.51456,1.021,-0.116689,1.23486,0.893955,0.131692,0.948211,19.9349,0.847067,0.936189
0.100102,87,2.74645,-1.58484,1.66702,-1.60527,1.45997,-1.14833,-1.45945,-0.264933,0.173259,0.940944,-1.99186,1.96847,754.271,137.18,-89.7722,-486.727,1030.37,-1017.58,0,0,0,0,0,0,0.826501,0.206297,0.978148,0.904024,0.202864,1.54183,0.766227,0.309171,1.72131,0.92587,0.375531,1.5601,0.91936,0.533347,1.32287,0.629114,0.126215,1.32204,0.882177,0.0301965,1.52356,0.862369,-0.0498956,1.25077,0.614309,0.383769,1.2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826501,0.206297,0.978148,0.904024,0.202864,1.54183,0.766227,0.309171,1.72131,0.92587,0.375531,1.5601,0.91936,0.533347,1.32287,0.629114,0.126215,1.32204,0.882177,0.0301965,1.52356,0.862369,-0.0498956,1.25077,0.614309,0.383769,1.2708, , , , , , , , , , , , , , , , , , ,0.969091,0.14554,0.961531,1.07322,0.0952378,1.51866,0.947514,0.152765,1.72695,1.11785,0.252996,1.52275,1.13805,0.392443,1.27502,0.943972,0.258194,0.952044,1.0286,-0.06252,1.51456,1.021,-0.116689,1.23486,0.893955,0.131692,0.948211,19.9349,0.837737,0.998476
0.116728,87,2.71742,-1.59006,1.67042,-1.58664,1.42054,-1.10922,-1.66195,-0.296567,0.192733,1.06294,-2.24946,2.2368,827.722,147.99,-96.2445,-529.866,1121.38,-1114.29,0,0,0,0,0,0,0.826501,0.206297,0.978148,0.904024,0.202864,1.54183,0.766227,0.309171,1.72131,0.92587,0.375531,1.5601,0.91936,0.533347,1.32287,0.629114,0.126215,1.32204,0.882177,0.0301965,1.52356,0.862369,-0.0498956,1.25077,0.614309,0.383769,1.2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826501,0.206297,0.978148,0.904024,0.202864,1.54183,0.766227,0.309171,1.72131,0.92587,0.375531,1.5601,0.91936,0.533347,1.32287,0.629114,0.126215,1.32204,0.882177,0.0301965,1.52356,0.862369,-0.0498956,1.25077,0.614309,0.383769,1.2708, , , , , , , , , , , , , , , , , , ,0.969091,0.14554,0.961531,1.07322,0.0952378,1.51866,0.947514,0.152765,1.72695,1.11785,0.252996,1.52275,1.13805,0.392443,1.27502,0.943972,0.258194,0.952044,1.0286,-0.06252,1.51456,1.021,-0.116689,1.23486,0.893955,0.131692,0.948211,19.9349,0.837737,1.13179
0.133941,88,2.68895,-1.59509,1.67368,-1.56851,1.38218,-1.07096,-1.88922,-0.331678,0.21424,1.1992,-2.53715,2.53759,921.652,162.152,-104.823,-585.599,1239,-1238.28,0,0,0,0,0,0,0.822232,0.206212,0.981867,0.893622,0.19917,1.54633,0.747218,0.299874,1.72218,0.914285,0.371752,1.56666,0.917758,0.530149,1.32976,0.618195,0.129826,1.32799,0.87296,0.0265878,1.52599,0.843253,-0.0516781,1.25357,0.608604,0.389264,1.27615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822232,0.206212,0.981867,0.893622,0.19917,1.54633,0.747218,0.299874,1.72218,0.914285,0.371752,1.56666,0.917758,0.530149,1.32976,0.618195,0.129826,1.32799,0.87296,0.0265878,1.52599,0.843253,-0.0516781,1.25357,0.608604,0.389264,1.27615, , , , , , , , , , , , , , , , , , ,0.969091,0.14554,0.961531,1.07322,0.0952378,1.51866,0.947514,0.152765,1.72695,1.11785,0.252996,1.52275,1.13805,0.392443,1.27502,0.943972,0.258194,0.952044,1.0286,-0.06252,1.51456,1.021,-0.116689,1.23486,0.893955,0.131692,0.948211,19.9349,0.817334,1.28078
0.15006,84,2.65811,-1.60045,1.67713,-1.54902,1.34096,-1.02958,-1.94686,-0.335822,0.215455,1.2258,-2.59267,2.60942,947.945,163.876,-105.228,-597.457,1263.72,-1270.89,0,0,0,0,0,0,0.822232,0.206212,0.981867,0.893622,0.19917,1.54633,0.747218,0.299874,1.72218,0.914285,0.371752,1.56666,0.917758,0.530149,1.32976,0.618195,0.129826,1.32799,0.87296,0.0265878,1.52599,0.843253,-0.0516781,1.25357,0.608604,0.389264,1.27615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822232,0.206212,0.981867,0.893622,0.19917,1.54633,0.747218,0.299874,1.72218,0.914285,0.371752,1.56666,0.917758,0.530149,1.32976,0.618195,0.129826,1.32799,0.87296,0.0265878,1.52599,0.843253,-0.0516781,1.25357,0.608604,0.389264,1.27615, , , , , , , , , , , , , , , , , , ,0.936787,0.157602,0.975195,1.06877,0.0870499,1.52416,0.936423,0.15546,1.72492,1.10377,0.247093,1.53173,1.16191,0.398809,1.29758,0.936264,0.218471,1.02088,1.03377,-0.0729929,1.51659,1.03996,-0.13053,1.23753,0.852337,0.166767,1.04671,19.9349,0.817334,1.31342
0.166728,80,2.6222,-1.60658,1.68104,-1.52653,1.29339,-0.98151,-1.95515,-0.330303,0.210183,1.21941,-2.57826,2.61403,1019.33,172.613,-109.943,-636.427,1345.68,-1363.22,0,0,0,0,0,0,0.822232,0.206212,0.981867,0.893622,0.19917,1.54633,0.747218,0.299874,1.72218,0.914285,0.371752,1.56666,0.917758,0.530149,1.32976,0.618195,0.129826,1.32799,0.87296,0.0265878,1.52599,0.843253,-0.0516781,1.25357,0.608604,0.389264,1.27615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822232,0.206212,0.981867,0.893622,0.19917,1.54633,0.747218,0.299874,1.72218,0.914285,0.371752,1.56666,0.917758,0.530149,1.32976,0.618195,0.129826,1.32799,0.87296,0.0265878,1.52599,0.843253,-0.0516781,1.25357,0.608604,0.389264,1.27615, , , , , , , , , , , , , , , , , , ,0.936787,0.157602,0.975195,1.06877,0.0870499,1.52416,0.936423,0.15546,1.72492,1.10377,0.247093,1.53173,1.16191,0.398809,1.29758,0.936264,0.218471,1.02088,1.03377,-0.0729929,1.51659,1.03996,-0.13053,1.23753,0.852337,0.166767,1.04671,19.9349,0.797983,1.31156
